task_id,asset_id,department,maintenance_type,corridor_id,section_id,task_date,deadline,risk_score,priority_score,required_duration_minutes,required_team_size,preferred_start_minute,max_delay_tolerance_minutes,can_bundle
TASK-000020,AST-107048,Mechanical / Rolling Stock,Bearing Inspection,COR-019,SEC-0186,2028-01-31,2028-02-10,99.0,98.1,150,6,937,0,Yes
TASK-000021,AST-002008,Mechanical / Rolling Stock,Axle Inspection,COR-014,SEC-0139,2025-01-26,2025-02-09,85.9,82.1,91,3,1380,0,Yes
TASK-000022,AST-103534,Mechanical / Rolling Stock,Bearing Inspection,COR-020,SEC-0191,2027-12-29,2027-12-31,66.3,51.9,110,6,387,120,Yes
TASK-000023,AST-066783,Track / Civil Engineering,Bridge Inspection,COR-013,SEC-0123,2026-12-08,2026-12-10,95.6,89.4,172,3,1380,15,Yes
TASK-000024,AST-003972,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-014,SEC-0139,2025-02-19,2025-02-26,65.9,61.2,199,5,1380,120,Yes
TASK-000025,AST-012313,Mechanical / Rolling Stock,Bearing Inspection,COR-006,SEC-0054,2025-05-14,2025-05-17,84.3,70.1,134,2,1380,0,Yes
TASK-000026,AST-113076,Electrical / TRD,Catenary Repair,COR-015,SEC-0147,2028-03-30,2028-04-01,59.8,42.4,106,5,120,60,Yes
TASK-000027,AST-018386,Track / Civil Engineering,Rail Grinding,COR-008,SEC-0074,2025-07-25,2025-07-28,53.5,44.1,202,3,60,30,Yes
TASK-000028,AST-034398,Track / Civil Engineering,Rail Inspection,COR-018,SEC-0172,2025-12-27,2026-01-10,96.9,86.8,208,2,0,120,Yes
TASK-000029,AST-039965,Electrical / TRD,OHE Inspection,COR-003,SEC-0022,2026-03-05,2026-03-12,76.5,64.9,103,2,180,120,Yes
TASK-000030,AST-124762,Mechanical / Rolling Stock,Brake Inspection,COR-020,SEC-0191,2028-07-27,2028-07-28,79.0,64.5,162,2,0,30,Yes
TASK-000031,AST-140057,Track / Civil Engineering,Rail Grinding,COR-012,SEC-0116,2029-01-10,2029-01-15,75.7,63.4,171,6,1371,60,Yes
TASK-000032,AST-098923,Electrical / TRD,OHE Inspection,COR-003,SEC-0021,2027-11-04,2027-11-18,62.7,51.3,112,2,0,60,Yes
TASK-000033,AST-085220,Electrical / TRD,Switchgear Inspection,COR-018,SEC-0177,2027-06-14,2027-06-17,74.8,63.7,142,6,443,0,Yes
TASK-000034,AST-032529,Track / Civil Engineering,Rail Inspection,COR-005,SEC-0049,2025-12-16,2025-12-19,87.5,83.3,109,3,859,120,Yes
TASK-000035,AST-143575,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-001,SEC-0003,2029-02-18,2029-03-04,91.7,86.1,130,6,60,30,No
TASK-000036,AST-132368,Signal & Telecommunications (S&T),Signal Inspection,COR-008,SEC-0072,2028-10-20,2028-11-03,53.2,38.6,103,4,60,60,Yes
TASK-000037,AST-146292,Mechanical / Rolling Stock,Wheelset Inspection,COR-003,SEC-0027,2029-03-16,2029-03-23,70.4,60.7,77,3,156,15,Yes
TASK-000038,AST-010975,Electrical / TRD,Feeder Maintenance,COR-005,SEC-0043,2025-05-03,2025-05-08,58.9,45.2,134,2,180,15,Yes
TASK-000039,AST-030282,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-009,SEC-0081,2025-11-22,2025-11-25,63.1,49.4,172,4,60,15,Yes
TASK-000040,AST-072081,Signal & Telecommunications (S&T),Relay Testing,COR-009,SEC-0087,2027-01-30,2027-02-09,59.9,43.9,95,6,1425,60,Yes
TASK-000041,AST-031933,Track / Civil Engineering,Bridge Inspection,COR-002,SEC-0018,2025-12-09,2025-12-14,57.2,47.5,121,4,180,30,No
TASK-000042,AST-061151,Track / Civil Engineering,Ballast Tamping,COR-013,SEC-0129,2026-10-07,2026-10-12,57.0,45.4,80,2,31,15,Yes
TASK-000043,AST-093393,Track / Civil Engineering,Ballast Tamping,COR-016,SEC-0155,2027-09-07,2027-09-17,89.8,96.0,163,3,60,120,Yes
TASK-000044,AST-087125,Electrical / TRD,Transformer Inspection,COR-014,SEC-0133,2027-06-30,2027-07-01,75.6,63.2,115,2,60,0,No
TASK-000045,AST-044637,Track / Civil Engineering,Bridge Inspection,COR-002,SEC-0011,2026-04-13,2026-04-18,90.1,88.3,142,4,1428,15,Yes
TASK-000046,AST-051571,Signal & Telecommunications (S&T),Signal Inspection,COR-014,SEC-0134,2026-06-28,2026-07-08,56.3,44.7,103,4,120,30,Yes
TASK-000047,AST-089015,Track / Civil Engineering,Sleeper Replacement,COR-019,SEC-0186,2027-07-30,2027-08-13,66.0,44.2,163,2,278,30,Yes
TASK-000048,AST-128837,Mechanical / Rolling Stock,Bearing Inspection,COR-005,SEC-0049,2028-09-12,2028-09-22,50.4,40.7,76,3,120,30,Yes
TASK-000049,AST-046864,Track / Civil Engineering,Rail Grinding,COR-009,SEC-0083,2026-05-18,2026-05-19,89.0,83.8,129,3,1380,30,Yes
TASK-000050,AST-031755,Mechanical / Rolling Stock,Brake Inspection,COR-017,SEC-0167,2025-12-01,2025-12-03,76.2,65.2,100,3,1320,15,Yes
TASK-000051,AST-005084,Electrical / TRD,Substation Maintenance,COR-017,SEC-0165,2025-03-04,2025-03-11,99.0,89.0,120,4,570,120,Yes
TASK-000052,AST-129622,Electrical / TRD,Switchgear Inspection,COR-018,SEC-0173,2028-09-20,2028-09-30,76.6,63.9,151,6,0,0,Yes
TASK-000053,AST-004093,Electrical / TRD,Substation Maintenance,COR-018,SEC-0178,2025-02-18,2025-02-23,99.0,89.5,102,6,60,15,Yes
TASK-000054,AST-031914,Electrical / TRD,Switchgear Inspection,COR-006,SEC-0051,2025-11-30,2025-12-03,62.4,48.3,174,5,1320,15,No
TASK-000055,AST-105913,Mechanical / Rolling Stock,Axle Inspection,COR-018,SEC-0179,2028-01-23,2028-01-24,64.9,54.1,57,6,180,30,Yes
TASK-000056,AST-122446,Electrical / TRD,Switchgear Inspection,COR-011,SEC-0103,2028-07-01,2028-07-06,65.7,54.4,137,6,369,120,Yes
TASK-000057,AST-022804,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-016,SEC-0151,2025-08-31,2025-09-03,70.4,62.5,95,3,1211,60,Yes
TASK-000058,AST-028704,Electrical / TRD,Catenary Repair,COR-020,SEC-0197,2025-10-29,2025-10-30,98.4,87.4,150,2,120,30,Yes
TASK-000059,AST-148448,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-017,SEC-0168,2029-04-08,2029-04-09,61.7,47.5,148,3,1012,0,Yes
TASK-000060,AST-014879,Signal & Telecommunications (S&T),Telecom Inspection,COR-016,SEC-0151,2025-06-11,2025-06-13,72.7,55.4,135,6,0,15,Yes
TASK-000061,AST-094798,Track / Civil Engineering,Sleeper Replacement,COR-013,SEC-0130,2027-09-19,2027-09-24,99.0,95.0,106,6,1432,30,No
TASK-000062,AST-006087,Electrical / TRD,Feeder Maintenance,COR-002,SEC-0015,2025-03-11,2025-03-25,67.2,50.8,191,4,1380,60,Yes
TASK-000063,AST-031579,Electrical / TRD,OHE Inspection,COR-017,SEC-0169,2025-11-30,2025-12-10,56.2,43.3,129,5,1320,60,No
TASK-000064,AST-109665,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-004,SEC-0037,2028-02-23,2028-03-04,63.5,45.4,98,6,1320,30,Yes
TASK-000065,AST-023975,Track / Civil Engineering,Turnout Maintenance,COR-018,SEC-0172,2025-09-17,2025-09-27,97.1,87.2,174,2,1209,120,Yes
TASK-000066,AST-083023,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0181,2027-05-20,2027-05-21,99.0,93.1,112,6,0,15,No
TASK-000067,AST-129983,Electrical / TRD,Transformer Inspection,COR-016,SEC-0153,2028-09-28,2028-10-01,99.0,84.6,116,4,0,30,Yes
TASK-000068,AST-104118,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-009,SEC-0088,2027-12-31,2028-01-05,54.3,38.8,89,2,962,30,Yes
TASK-000069,AST-061653,Electrical / TRD,Catenary Repair,COR-020,SEC-0198,2026-10-09,2026-10-16,69.1,51.8,226,3,0,15,Yes
TASK-000070,AST-134192,Track / Civil Engineering,Bridge Inspection,COR-020,SEC-0196,2028-11-09,2028-11-14,99.0,92.1,148,6,180,30,Yes
TASK-000071,AST-027404,Track / Civil Engineering,Ballast Tamping,COR-019,SEC-0186,2025-10-19,2025-10-26,74.0,67.0,190,2,944,30,Yes
TASK-000072,AST-013042,Track / Civil Engineering,Turnout Maintenance,COR-001,SEC-0010,2025-05-17,2025-05-19,73.4,69.6,89,2,704,0,Yes
TASK-000073,AST-060624,Mechanical / Rolling Stock,Brake Inspection,COR-003,SEC-0022,2026-10-02,2026-10-07,39.4,29.8,181,2,459,15,No
TASK-000074,AST-112024,Mechanical / Rolling Stock,Traction Motor Inspection,COR-020,SEC-0197,2028-03-17,2028-03-24,72.0,57.1,154,4,120,120,No
TASK-000075,AST-074195,Track / Civil Engineering,Ballast Tamping,COR-012,SEC-0115,2027-02-17,2027-02-22,66.1,46.1,104,3,120,120,Yes
TASK-000076,AST-000532,Signal & Telecommunications (S&T),Signal Inspection,COR-020,SEC-0196,2025-01-14,2025-01-21,69.4,48.5,102,2,180,0,Yes
TASK-000077,AST-052090,Track / Civil Engineering,Rail Inspection,COR-009,SEC-0085,2026-07-06,2026-07-09,71.5,65.8,173,6,180,15,Yes
TASK-000078,AST-052470,Track / Civil Engineering,Ballast Tamping,COR-010,SEC-0091,2026-07-10,2026-07-20,76.9,69.4,184,2,289,60,No
TASK-000079,AST-077080,Track / Civil Engineering,Rail Inspection,COR-020,SEC-0193,2027-03-20,2027-03-21,73.3,65.6,168,4,120,15,Yes
TASK-000080,AST-022319,Track / Civil Engineering,Rail Inspection,COR-009,SEC-0087,2025-08-25,2025-08-26,67.1,58.4,130,2,777,15,Yes
TASK-000081,AST-114561,Electrical / TRD,Feeder Maintenance,COR-010,SEC-0099,2028-04-13,2028-04-18,79.7,67.5,151,4,1320,0,Yes
TASK-000082,AST-030137,Track / Civil Engineering,Sleeper Replacement,COR-014,SEC-0136,2025-11-19,2025-11-26,81.1,71.1,131,6,553,30,Yes
TASK-000083,AST-070676,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-004,SEC-0039,2027-01-17,2027-01-19,64.7,54.6,98,3,264,60,No
TASK-000084,AST-054465,Mechanical / Rolling Stock,Wheelset Inspection,COR-011,SEC-0105,2026-07-27,2026-08-06,99.0,92.5,130,6,454,15,Yes
TASK-000085,AST-026225,Electrical / TRD,Switchgear Inspection,COR-004,SEC-0035,2025-10-03,2025-10-05,68.1,52.7,121,5,180,60,Yes
TASK-000086,AST-037318,Track / Civil Engineering,Turnout Maintenance,COR-015,SEC-0142,2026-02-01,2026-02-11,72.2,66.7,99,5,501,0,Yes
TASK-000087,AST-112687,Track / Civil Engineering,Bridge Inspection,COR-011,SEC-0101,2028-03-26,2028-03-31,87.0,80.5,114,4,1209,30,No
TASK-000088,AST-078006,Track / Civil Engineering,Sleeper Replacement,COR-002,SEC-0020,2027-04-02,2027-04-05,74.4,67.5,159,6,60,15,Yes
TASK-000089,AST-076239,Signal & Telecommunications (S&T),Relay Testing,COR-017,SEC-0167,2027-03-11,2027-03-16,44.9,30.8,177,2,1320,60,Yes
TASK-000090,AST-024628,Track / Civil Engineering,Rail Inspection,COR-002,SEC-0013,2025-09-23,2025-09-28,76.1,63.2,216,2,590,0,Yes
TASK-000091,AST-148024,Track / Civil Engineering,Rail Grinding,COR-005,SEC-0043,2029-03-25,2029-03-26,82.0,73.9,163,2,180,30,Yes
TASK-000092,AST-071636,Electrical / TRD,Transformer Inspection,COR-006,SEC-0056,2027-01-18,2027-01-25,66.9,54.6,51,5,60,30,Yes
TASK-000093,AST-032248,Track / Civil Engineering,Sleeper Replacement,COR-015,SEC-0148,2025-12-10,2025-12-12,87.4,85.7,135,6,1380,120,Yes
TASK-000094,AST-062005,Mechanical / Rolling Stock,Bearing Inspection,COR-001,SEC-0005,2026-10-13,2026-10-16,74.6,60.8,131,3,550,30,No
TASK-000095,AST-099539,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-010,SEC-0091,2027-11-15,2027-11-17,49.1,41.1,68,5,60,120,No
TASK-000096,AST-027129,Electrical / TRD,Feeder Maintenance,COR-009,SEC-0087,2025-10-24,2025-10-27,63.3,49.4,114,2,1380,120,No
TASK-000097,AST-074980,Track / Civil Engineering,Bridge Inspection,COR-018,SEC-0176,2027-02-27,2027-03-04,85.1,81.9,116,3,610,30,No
TASK-000098,AST-024650,Track / Civil Engineering,Turnout Maintenance,COR-019,SEC-0187,2025-09-18,2025-09-28,68.7,53.3,105,5,1380,60,No
TASK-000099,AST-028363,Mechanical / Rolling Stock,Brake Inspection,COR-010,SEC-0091,2025-10-27,2025-10-29,65.2,50.2,143,3,590,15,Yes
TASK-000100,AST-060936,Signal & Telecommunications (S&T),Relay Testing,COR-019,SEC-0190,2026-10-09,2026-10-23,92.8,87.9,49,3,0,30,Yes
TASK-000101,AST-009073,Electrical / TRD,OHE Inspection,COR-007,SEC-0067,2025-04-07,2025-04-17,72.8,68.8,134,3,0,60,Yes
TASK-000102,AST-012492,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-020,SEC-0193,2025-05-15,2025-05-17,59.6,40.2,127,3,120,15,Yes
TASK-000103,AST-110659,Electrical / TRD,Switchgear Inspection,COR-012,SEC-0119,2028-03-12,2028-03-17,62.7,46.2,163,2,120,120,Yes
TASK-000104,AST-119218,Track / Civil Engineering,Rail Inspection,COR-012,SEC-0120,2028-05-28,2028-06-04,71.4,58.4,137,3,120,0,Yes
TASK-000105,AST-100893,Track / Civil Engineering,Bridge Inspection,COR-004,SEC-0037,2027-11-23,2027-11-26,89.1,85.6,191,4,615,15,Yes
TASK-000106,AST-096433,Track / Civil Engineering,Rail Inspection,COR-004,SEC-0032,2027-10-03,2027-10-13,89.5,87.9,139,2,1141,60,Yes
TASK-000107,AST-084453,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-019,SEC-0187,2027-06-10,2027-06-13,40.9,36.3,134,3,180,0,Yes
TASK-000108,AST-120734,Signal & Telecommunications (S&T),Relay Testing,COR-009,SEC-0086,2028-06-15,2028-06-17,80.7,63.3,111,5,120,60,No
TASK-000109,AST-092937,Electrical / TRD,Transformer Inspection,COR-019,SEC-0183,2027-09-05,2027-09-19,62.7,51.0,80,2,60,15,Yes
TASK-000110,AST-121386,Track / Civil Engineering,Rail Grinding,COR-014,SEC-0133,2028-06-19,2028-07-03,91.4,90.5,102,3,11,15,Yes
TASK-000111,AST-035230,Track / Civil Engineering,Bridge Inspection,COR-001,SEC-0004,2026-01-07,2026-01-14,78.6,70.4,147,6,0,60,Yes
TASK-000112,AST-088252,Track / Civil Engineering,Sleeper Replacement,COR-020,SEC-0198,2027-07-12,2027-07-13,91.5,83.9,143,6,1320,15,No
TASK-000113,AST-002818,Electrical / TRD,Switchgear Inspection,COR-004,SEC-0032,2025-02-12,2025-02-17,73.7,63.6,113,6,0,15,Yes
TASK-000114,AST-029711,Track / Civil Engineering,Turnout Maintenance,COR-007,SEC-0067,2025-11-09,2025-11-12,64.2,48.4,254,3,120,30,No
TASK-000115,AST-047685,Track / Civil Engineering,Rail Inspection,COR-009,SEC-0088,2026-05-25,2026-05-26,67.0,56.0,160,3,1320,60,No
TASK-000116,AST-133803,Track / Civil Engineering,Ballast Tamping,COR-017,SEC-0166,2028-10-28,2028-11-07,89.5,89.0,119,3,1320,15,No
TASK-000117,AST-033578,Track / Civil Engineering,Rail Inspection,COR-012,SEC-0114,2025-12-22,2026-01-01,99.0,89.5,175,5,60,120,No
TASK-000118,AST-078796,Track / Civil Engineering,Ballast Tamping,COR-010,SEC-0092,2027-04-04,2027-04-05,57.7,43.5,142,3,619,30,Yes
TASK-000119,AST-073691,Mechanical / Rolling Stock,Brake Inspection,COR-001,SEC-0008,2027-02-17,2027-03-03,39.5,26.3,107,6,1380,120,Yes
TASK-000120,AST-013365,Mechanical / Rolling Stock,Axle Inspection,COR-001,SEC-0005,2025-05-23,2025-06-06,85.4,82.8,53,6,60,30,Yes
TASK-000121,AST-083198,Track / Civil Engineering,Ballast Tamping,COR-015,SEC-0148,2027-05-31,2027-06-10,89.5,84.7,134,6,1320,60,No
TASK-000122,AST-023057,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-011,SEC-0101,2025-09-06,2025-09-20,62.1,54.7,157,3,60,15,No
TASK-000123,AST-143218,Track / Civil Engineering,Rail Grinding,COR-004,SEC-0035,2029-02-11,2029-02-18,52.1,40.2,199,3,120,15,Yes
TASK-000124,AST-056890,Track / Civil Engineering,Sleeper Replacement,COR-017,SEC-0163,2026-08-29,2026-09-08,99.0,90.0,113,6,1380,15,No
TASK-000125,AST-146326,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-003,SEC-0028,2029-03-19,2029-03-22,60.5,51.1,97,2,302,0,No
TASK-000126,AST-092658,Track / Civil Engineering,Sleeper Replacement,COR-015,SEC-0148,2027-08-26,2027-09-05,99.0,87.6,183,2,391,120,No
TASK-000127,AST-102388,Track / Civil Engineering,Bridge Inspection,COR-014,SEC-0137,2027-12-17,2027-12-22,74.0,63.6,207,5,60,0,Yes
TASK-000128,AST-055659,Mechanical / Rolling Stock,Axle Inspection,COR-007,SEC-0067,2026-08-14,2026-08-28,68.2,50.6,105,6,180,15,Yes
TASK-000129,AST-095747,Mechanical / Rolling Stock,Traction Motor Inspection,COR-001,SEC-0007,2027-10-02,2027-10-04,60.9,47.2,146,4,60,30,Yes
TASK-000130,AST-075471,Electrical / TRD,Switchgear Inspection,COR-001,SEC-0007,2027-03-07,2027-03-21,58.5,46.1,175,3,60,30,Yes
TASK-000131,AST-072954,Track / Civil Engineering,Rail Inspection,COR-017,SEC-0162,2027-02-04,2027-02-06,99.0,91.8,182,3,120,15,Yes
TASK-000132,AST-121837,Track / Civil Engineering,Ballast Tamping,COR-020,SEC-0191,2028-06-28,2028-06-30,99.0,89.5,205,6,671,15,No
TASK-000133,AST-088092,Electrical / TRD,Catenary Repair,COR-019,SEC-0184,2027-07-18,2027-07-28,48.0,37.6,204,6,60,120,Yes
TASK-000134,AST-097663,Track / Civil Engineering,Sleeper Replacement,COR-018,SEC-0177,2027-10-22,2027-10-27,68.0,48.9,202,2,1314,60,No
TASK-000135,AST-038788,Signal & Telecommunications (S&T),Telecom Inspection,COR-012,SEC-0117,2026-02-17,2026-02-20,99.0,91.7,86,3,1320,15,Yes
TASK-000136,AST-098874,Electrical / TRD,Catenary Repair,COR-018,SEC-0171,2027-11-09,2027-11-12,63.6,46.7,82,2,1320,30,Yes
TASK-000137,AST-147347,Track / Civil Engineering,Bridge Inspection,COR-005,SEC-0046,2029-03-27,2029-04-03,73.0,63.1,109,4,180,30,Yes
TASK-000138,AST-068894,Mechanical / Rolling Stock,Axle Inspection,COR-003,SEC-0022,2026-12-25,2026-12-26,52.4,42.7,154,6,874,15,Yes
TASK-000139,AST-070236,Electrical / TRD,Transformer Inspection,COR-016,SEC-0156,2027-01-13,2027-01-15,68.1,52.9,157,2,70,15,Yes
TASK-000140,AST-013905,Track / Civil Engineering,Turnout Maintenance,COR-004,SEC-0039,2025-06-05,2025-06-07,71.6,61.7,144,6,0,0,Yes
TASK-000141,AST-065037,Electrical / TRD,OHE Inspection,COR-008,SEC-0072,2026-11-21,2026-11-23,61.9,47.7,237,6,1320,15,Yes
TASK-000142,AST-100301,Mechanical / Rolling Stock,Bearing Inspection,COR-019,SEC-0189,2027-11-21,2027-11-24,88.5,81.2,189,2,0,60,Yes
TASK-000143,AST-079827,Track / Civil Engineering,Ballast Tamping,COR-013,SEC-0122,2027-04-24,2027-04-26,99.0,90.4,120,6,180,15,Yes
TASK-000144,AST-029628,Mechanical / Rolling Stock,Bearing Inspection,COR-001,SEC-0007,2025-11-17,2025-12-01,72.0,60.1,73,4,1380,60,Yes
TASK-000145,AST-070806,Track / Civil Engineering,Rail Inspection,COR-013,SEC-0122,2027-01-20,2027-01-30,99.0,87.0,174,6,60,60,Yes
TASK-000146,AST-062318,Track / Civil Engineering,Sleeper Replacement,COR-006,SEC-0059,2026-10-19,2026-10-26,61.6,45.8,129,6,180,15,Yes
TASK-000147,AST-006251,Electrical / TRD,Switchgear Inspection,COR-007,SEC-0063,2025-03-19,2025-04-02,72.2,62.1,183,3,120,30,No
TASK-000148,AST-132076,Track / Civil Engineering,Bridge Inspection,COR-011,SEC-0105,2028-10-13,2028-10-20,69.5,54.5,146,2,180,30,Yes
TASK-000149,AST-068107,Track / Civil Engineering,Rail Inspection,COR-017,SEC-0170,2026-12-16,2026-12-17,99.0,92.8,193,6,620,15,Yes
TASK-000150,AST-095584,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-017,SEC-0163,2027-10-06,2027-10-08,85.6,83.7,97,3,1380,15,Yes
TASK-000151,AST-112947,Mechanical / Rolling Stock,Wheelset Inspection,COR-009,SEC-0090,2028-03-30,2028-04-06,89.7,86.4,105,6,1380,15,Yes
TASK-000152,AST-029386,Track / Civil Engineering,Sleeper Replacement,COR-018,SEC-0180,2025-11-12,2025-11-22,99.0,97.8,100,6,180,15,No
TASK-000153,AST-062848,Track / Civil Engineering,Ballast Tamping,COR-020,SEC-0193,2026-10-30,2026-11-02,71.1,65.1,179,4,1380,15,Yes
TASK-000154,AST-084066,Track / Civil Engineering,Turnout Maintenance,COR-019,SEC-0185,2027-05-31,2027-06-07,65.5,50.3,161,3,1199,30,Yes
TASK-000155,AST-143423,Track / Civil Engineering,Rail Inspection,COR-004,SEC-0040,2029-02-15,2029-02-16,78.9,68.7,143,2,180,15,Yes
TASK-000156,AST-107753,Electrical / TRD,Catenary Repair,COR-013,SEC-0121,2028-02-09,2028-02-23,86.9,85.4,129,6,1320,15,Yes
TASK-000157,AST-116694,Track / Civil Engineering,Sleeper Replacement,COR-009,SEC-0083,2028-05-07,2028-05-21,69.7,51.1,172,2,302,60,Yes
TASK-000158,AST-090025,Track / Civil Engineering,Ballast Tamping,COR-010,SEC-0091,2027-08-07,2027-08-12,85.0,76.1,157,6,120,60,Yes
TASK-000159,AST-127042,Track / Civil Engineering,Rail Inspection,COR-007,SEC-0069,2028-08-18,2028-08-23,57.1,49.4,186,3,518,15,Yes
TASK-000160,AST-090250,Track / Civil Engineering,Bridge Inspection,COR-009,SEC-0086,2027-08-10,2027-08-20,71.4,61.5,127,5,1320,0,No
TASK-000161,AST-090981,Track / Civil Engineering,Ballast Tamping,COR-004,SEC-0031,2027-08-12,2027-08-14,99.0,93.6,144,5,1010,120,Yes
TASK-000162,AST-149837,Signal & Telecommunications (S&T),Telecom Inspection,COR-003,SEC-0026,2029-04-19,2029-04-22,89.9,91.5,185,3,0,0,No
TASK-000163,AST-139898,Electrical / TRD,Catenary Repair,COR-001,SEC-0007,2029-01-08,2029-01-13,99.0,93.6,159,3,8,120,No
TASK-000164,AST-008952,Track / Civil Engineering,Sleeper Replacement,COR-016,SEC-0152,2025-04-18,2025-04-20,75.6,62.5,135,3,1321,15,Yes
TASK-000165,AST-095250,Electrical / TRD,Substation Maintenance,COR-004,SEC-0033,2027-09-22,2027-09-27,75.1,64.3,155,5,971,30,No
TASK-000166,AST-049511,Track / Civil Engineering,Ballast Tamping,COR-008,SEC-0079,2026-06-10,2026-06-17,55.3,39.4,191,4,1380,15,Yes
TASK-000167,AST-098908,Electrical / TRD,Substation Maintenance,COR-011,SEC-0106,2027-11-02,2027-11-12,85.7,80.4,134,5,120,30,Yes
TASK-000168,AST-065981,Mechanical / Rolling Stock,Brake Inspection,COR-003,SEC-0021,2026-12-02,2026-12-16,93.0,86.0,131,2,1354,60,Yes
TASK-000169,AST-043270,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-009,SEC-0087,2026-04-02,2026-04-05,72.4,58.3,157,6,820,15,Yes
TASK-000170,AST-077469,Signal & Telecommunications (S&T),Relay Testing,COR-018,SEC-0173,2027-03-20,2027-04-03,98.7,90.7,139,2,60,0,Yes
TASK-000171,AST-038551,Track / Civil Engineering,Sleeper Replacement,COR-020,SEC-0191,2026-02-12,2026-02-14,74.8,60.1,186,2,1243,30,Yes
TASK-000172,AST-001583,Track / Civil Engineering,Bridge Inspection,COR-015,SEC-0150,2025-01-31,2025-02-01,89.6,86.5,227,6,319,0,Yes
TASK-000173,AST-122993,Track / Civil Engineering,Turnout Maintenance,COR-004,SEC-0038,2028-07-10,2028-07-15,71.4,68.2,174,2,1389,15,Yes
