date,corridor_id,corridor_name,freight_demand_index,expected_freight_trains
2026-09-08,COR-005,Surat–Vadodara,54.8,4
2026-09-08,COR-006,Vadodara–Ahmedabad,10.0,3
2026-09-08,COR-007,Mumbai–Pune,57.3,6
2026-09-08,COR-008,Bhopal–Itarsi,40.3,6
2026-09-08,COR-009,Itarsi–Nagpur,54.8,8
2026-09-08,COR-010,Howrah–Dhanbad,68.2,8
2026-09-08,COR-011,Dhanbad–Gaya,48.2,5
2026-09-08,COR-012,Chennai–Arakkonam,86.6,11
2026-09-08,COR-013,Bengaluru–Mysuru,64.9,7
2026-09-08,COR-014,Hyderabad–Secunderabad,35.3,2
2026-09-08,COR-015,Vijayawada–Warangal,57.1,6
2026-09-08,COR-016,Lucknow–Kanpur,55.4,6
2026-09-08,COR-017,Jaipur–Ajmer,58.7,10
2026-09-08,COR-018,Patna–Mughalsarai,50.8,9
2026-09-08,COR-019,Bhubaneswar–Cuttack,37.8,1
2026-09-08,COR-020,Kolkata–Asansol,60.4,6
2026-09-09,COR-001,Delhi–Agra,33.9,7
2026-09-09,COR-002,Agra–Jhansi,32.0,2
2026-09-09,COR-003,Delhi–Ambala,49.7,4
2026-09-09,COR-004,Mumbai–Surat,40.7,1
2026-09-09,COR-005,Surat–Vadodara,26.0,4
2026-09-09,COR-006,Vadodara–Ahmedabad,35.1,1
2026-09-09,COR-007,Mumbai–Pune,62.2,8
2026-09-09,COR-008,Bhopal–Itarsi,66.2,10
2026-09-09,COR-009,Itarsi–Nagpur,31.3,3
2026-09-09,COR-010,Howrah–Dhanbad,50.0,7
2026-09-09,COR-011,Dhanbad–Gaya,29.2,4
2026-09-09,COR-012,Chennai–Arakkonam,67.9,10
2026-09-09,COR-013,Bengaluru–Mysuru,37.1,3
2026-09-09,COR-014,Hyderabad–Secunderabad,54.9,3
2026-09-09,COR-015,Vijayawada–Warangal,42.1,5
2026-09-09,COR-016,Lucknow–Kanpur,71.3,6
2026-09-09,COR-017,Jaipur–Ajmer,38.1,4
2026-09-09,COR-018,Patna–Mughalsarai,52.7,4
2026-09-09,COR-019,Bhubaneswar–Cuttack,36.2,4
2026-09-09,COR-020,Kolkata–Asansol,42.1,7
2026-09-10,COR-001,Delhi–Agra,27.1,2
2026-09-10,COR-002,Agra–Jhansi,56.9,8
2026-09-10,COR-003,Delhi–Ambala,25.6,3
2026-09-10,COR-004,Mumbai–Surat,64.4,12
2026-09-10,COR-005,Surat–Vadodara,51.3,8
2026-09-10,COR-006,Vadodara–Ahmedabad,22.9,4
2026-09-10,COR-007,Mumbai–Pune,70.0,9
2026-09-10,COR-008,Bhopal–Itarsi,51.0,7
2026-09-10,COR-009,Itarsi–Nagpur,48.1,8
2026-09-10,COR-010,Howrah–Dhanbad,36.4,6
2026-09-10,COR-011,Dhanbad–Gaya,47.6,7
2026-09-10,COR-012,Chennai–Arakkonam,47.9,5
2026-09-10,COR-013,Bengaluru–Mysuru,57.5,7
2026-09-10,COR-014,Hyderabad–Secunderabad,71.3,11
2026-09-10,COR-015,Vijayawada–Warangal,54.3,8
2026-09-10,COR-016,Lucknow–Kanpur,50.8,10
2026-09-10,COR-017,Jaipur–Ajmer,38.0,7
2026-09-10,COR-018,Patna–Mughalsarai,38.5,5
2026-09-10,COR-019,Bhubaneswar–Cuttack,54.3,8
2026-09-10,COR-020,Kolkata–Asansol,28.0,3
2026-09-11,COR-001,Delhi–Agra,59.5,6
2026-09-11,COR-002,Agra–Jhansi,65.4,6
2026-09-11,COR-003,Delhi–Ambala,67.3,6
2026-09-11,COR-004,Mumbai–Surat,66.4,9
2026-09-11,COR-005,Surat–Vadodara,53.8,6
2026-09-11,COR-006,Vadodara–Ahmedabad,43.7,7
2026-09-11,COR-007,Mumbai–Pune,67.1,8
2026-09-11,COR-008,Bhopal–Itarsi,49.0,6
2026-09-11,COR-009,Itarsi–Nagpur,53.0,5
2026-09-11,COR-010,Howrah–Dhanbad,43.2,4
2026-09-11,COR-011,Dhanbad–Gaya,31.1,3
2026-09-11,COR-012,Chennai–Arakkonam,42.4,3
2026-09-11,COR-013,Bengaluru–Mysuru,56.2,6
2026-09-11,COR-014,Hyderabad–Secunderabad,57.2,4
2026-09-11,COR-015,Vijayawada–Warangal,49.1,9
2026-09-11,COR-016,Lucknow–Kanpur,50.3,8
2026-09-11,COR-017,Jaipur–Ajmer,43.4,4
2026-09-11,COR-018,Patna–Mughalsarai,57.7,8
2026-09-11,COR-019,Bhubaneswar–Cuttack,39.8,2
2026-09-11,COR-020,Kolkata–Asansol,49.0,5
2026-09-12,COR-001,Delhi–Agra,65.2,8
2026-09-12,COR-002,Agra–Jhansi,28.5,1
2026-09-12,COR-003,Delhi–Ambala,65.9,8
2026-09-12,COR-004,Mumbai–Surat,43.0,5
2026-09-12,COR-005,Surat–Vadodara,53.1,7
2026-09-12,COR-006,Vadodara–Ahmedabad,42.1,8
2026-09-12,COR-007,Mumbai–Pune,59.4,8
2026-09-12,COR-008,Bhopal–Itarsi,47.5,5
2026-09-12,COR-009,Itarsi–Nagpur,50.1,9
2026-09-12,COR-010,Howrah–Dhanbad,44.4,5
2026-09-12,COR-011,Dhanbad–Gaya,49.9,4
2026-09-12,COR-012,Chennai–Arakkonam,58.0,9
2026-09-12,COR-013,Bengaluru–Mysuru,73.8,7
2026-09-12,COR-014,Hyderabad–Secunderabad,50.0,6
2026-09-12,COR-015,Vijayawada–Warangal,55.6,5
2026-09-12,COR-016,Lucknow–Kanpur,43.6,11
2026-09-12,COR-017,Jaipur–Ajmer,46.7,6
2026-09-12,COR-018,Patna–Mughalsarai,19.6,1
2026-09-12,COR-019,Bhubaneswar–Cuttack,57.2,5
2026-09-12,COR-020,Kolkata–Asansol,40.9,5
2026-09-13,COR-001,Delhi–Agra,41.0,3
2026-09-13,COR-002,Agra–Jhansi,37.4,5
2026-09-13,COR-003,Delhi–Ambala,56.1,5
2026-09-13,COR-004,Mumbai–Surat,70.9,8
2026-09-13,COR-005,Surat–Vadodara,67.6,10
2026-09-13,COR-006,Vadodara–Ahmedabad,19.4,2
2026-09-13,COR-007,Mumbai–Pune,40.0,9
2026-09-13,COR-008,Bhopal–Itarsi,27.6,5
2026-09-13,COR-009,Itarsi–Nagpur,56.2,5
2026-09-13,COR-010,Howrah–Dhanbad,54.8,5
2026-09-13,COR-011,Dhanbad–Gaya,49.6,11
2026-09-13,COR-012,Chennai–Arakkonam,41.1,3
2026-09-13,COR-013,Bengaluru–Mysuru,49.0,6
2026-09-13,COR-014,Hyderabad–Secunderabad,84.5,11
2026-09-13,COR-015,Vijayawada–Warangal,51.4,4
2026-09-13,COR-016,Lucknow–Kanpur,38.8,5
2026-09-13,COR-017,Jaipur–Ajmer,36.0,5
2026-09-13,COR-018,Patna–Mughalsarai,76.4,8
2026-09-13,COR-019,Bhubaneswar–Cuttack,46.6,5
2026-09-13,COR-020,Kolkata–Asansol,36.7,5
2026-09-14,COR-001,Delhi–Agra,49.1,8
2026-09-14,COR-002,Agra–Jhansi,77.1,7
2026-09-14,COR-003,Delhi–Ambala,59.8,5
2026-09-14,COR-004,Mumbai–Surat,26.1,3
2026-09-14,COR-005,Surat–Vadodara,36.4,7
2026-09-14,COR-006,Vadodara–Ahmedabad,45.5,8
2026-09-14,COR-007,Mumbai–Pune,36.9,5
2026-09-14,COR-008,Bhopal–Itarsi,38.4,4
2026-09-14,COR-009,Itarsi–Nagpur,73.7,9
2026-09-14,COR-010,Howrah–Dhanbad,53.8,4
2026-09-14,COR-011,Dhanbad–Gaya,72.9,9
2026-09-14,COR-012,Chennai–Arakkonam,71.3,9
2026-09-14,COR-013,Bengaluru–Mysuru,46.0,3
2026-09-14,COR-014,Hyderabad–Secunderabad,46.5,4
2026-09-14,COR-015,Vijayawada–Warangal,57.2,6
2026-09-14,COR-016,Lucknow–Kanpur,41.5,5
2026-09-14,COR-017,Jaipur–Ajmer,75.1,11
2026-09-14,COR-018,Patna–Mughalsarai,59.1,5
2026-09-14,COR-019,Bhubaneswar–Cuttack,41.9,4
2026-09-14,COR-020,Kolkata–Asansol,43.1,5
2026-09-15,COR-001,Delhi–Agra,37.9,5
2026-09-15,COR-002,Agra–Jhansi,80.5,13
2026-09-15,COR-003,Delhi–Ambala,73.8,11
2026-09-15,COR-004,Mumbai–Surat,46.6,4
2026-09-15,COR-005,Surat–Vadodara,69.4,9
2026-09-15,COR-006,Vadodara–Ahmedabad,57.7,9
2026-09-15,COR-007,Mumbai–Pune,45.9,5
2026-09-15,COR-008,Bhopal–Itarsi,59.5,8
2026-09-15,COR-009,Itarsi–Nagpur,41.8,6
2026-09-15,COR-010,Howrah–Dhanbad,40.8,5
2026-09-15,COR-011,Dhanbad–Gaya,34.9,1
2026-09-15,COR-012,Chennai–Arakkonam,24.2,2
2026-09-15,COR-013,Bengaluru–Mysuru,41.5,5
2026-09-15,COR-014,Hyderabad–Secunderabad,94.5,12
2026-09-15,COR-015,Vijayawada–Warangal,86.3,9
2026-09-15,COR-016,Lucknow–Kanpur,45.7,10
2026-09-15,COR-017,Jaipur–Ajmer,40.9,2
2026-09-15,COR-018,Patna–Mughalsarai,74.2,11
2026-09-15,COR-019,Bhubaneswar–Cuttack,29.3,3
2026-09-15,COR-020,Kolkata–Asansol,53.2,9
2026-09-16,COR-001,Delhi–Agra,44.1,8
2026-09-16,COR-002,Agra–Jhansi,46.5,7
2026-09-16,COR-003,Delhi–Ambala,50.8,7
2026-09-16,COR-004,Mumbai–Surat,73.3,7
2026-09-16,COR-005,Surat–Vadodara,62.5,9
2026-09-16,COR-006,Vadodara–Ahmedabad,42.0,6
2026-09-16,COR-007,Mumbai–Pune,75.3,9
2026-09-16,COR-008,Bhopal–Itarsi,54.0,8
2026-09-16,COR-009,Itarsi–Nagpur,39.3,7
2026-09-16,COR-010,Howrah–Dhanbad,47.5,4
2026-09-16,COR-011,Dhanbad–Gaya,60.2,7
2026-09-16,COR-012,Chennai–Arakkonam,79.2,8
2026-09-16,COR-013,Bengaluru–Mysuru,54.8,9
2026-09-16,COR-014,Hyderabad–Secunderabad,55.4,8
2026-09-16,COR-015,Vijayawada–Warangal,24.6,4
2026-09-16,COR-016,Lucknow–Kanpur,50.4,7
2026-09-16,COR-017,Jaipur–Ajmer,36.0,3
2026-09-16,COR-018,Patna–Mughalsarai,49.1,6
2026-09-16,COR-019,Bhubaneswar–Cuttack,73.9,8
2026-09-16,COR-020,Kolkata–Asansol,55.4,9
