train_id,block_id,train_priority_class,passenger_load_percent,conflict_type
TRN-00059,BLK-017256,3,94.5,Track Occupied
TRN-00060,BLK-020161,2,49.6,Track Occupied
TRN-00060,BLK-020162,2,49.6,Track Occupied
TRN-00061,BLK-021820,1,37.0,Track Occupied
TRN-00062,BLK-021555,3,62.1,Track Occupied
TRN-00063,BLK-031825,2,78.4,Track Occupied
TRN-00064,BLK-020034,2,68.4,Track Occupied
TRN-00065,BLK-026777,2,99.0,Track Occupied
TRN-00065,BLK-026778,2,99.0,Track Occupied
TRN-00066,BLK-004360,2,61.6,Track Occupied
TRN-00067,BLK-014609,2,77.3,Track Occupied
TRN-00068,BLK-024108,2,67.0,Track Occupied
TRN-00069,BLK-015260,3,99.0,Track Occupied
TRN-00070,BLK-024892,3,74.4,Track Occupied
TRN-00070,BLK-024893,3,74.4,Track Occupied
TRN-00071,BLK-016323,2,61.8,Track Occupied
TRN-00072,BLK-002942,2,61.1,Track Occupied
TRN-00073,BLK-029316,3,62.0,Track Occupied
TRN-00074,BLK-014350,2,41.1,Track Occupied
TRN-00075,BLK-007436,2,57.4,Track Occupied
TRN-00076,BLK-011444,2,88.6,Track Occupied
TRN-00077,BLK-004054,1,26.7,Track Occupied
TRN-00078,BLK-009585,2,71.0,Track Occupied
TRN-00079,BLK-005123,3,88.6,Track Occupied
TRN-00080,BLK-006916,2,76.5,Track Occupied
TRN-00081,BLK-012241,3,57.8,Track Occupied
TRN-00082,BLK-017478,2,55.9,Track Occupied
TRN-00083,BLK-030615,2,51.2,Track Occupied
TRN-00084,BLK-005645,3,53.6,Track Occupied
TRN-00084,BLK-005646,3,53.6,Track Occupied
TRN-00085,BLK-002599,3,84.7,Track Occupied
TRN-00085,BLK-002600,3,84.7,Track Occupied
TRN-00086,BLK-014691,1,44.9,Track Occupied
TRN-00087,BLK-006354,2,38.0,Track Occupied
TRN-00088,BLK-006849,3,78.8,Track Occupied
TRN-00089,BLK-019107,2,61.8,Track Occupied
TRN-00090,BLK-020886,3,60.1,Track Occupied
TRN-00091,BLK-031124,3,49.0,Track Occupied
TRN-00092,BLK-026633,2,55.2,Track Occupied
TRN-00093,BLK-003267,3,99.0,Track Occupied
TRN-00094,BLK-021626,2,77.0,Track Occupied
TRN-00095,BLK-002840,1,43.2,Track Occupied
TRN-00096,BLK-014127,3,67.9,Track Occupied
TRN-00097,BLK-015051,3,66.3,Track Occupied
TRN-00098,BLK-004289,2,89.8,Track Occupied
TRN-00098,BLK-004290,2,89.8,Track Occupied
TRN-00099,BLK-031566,3,74.0,Track Occupied
TRN-00100,BLK-004338,2,99.0,Track Occupied
TRN-00101,BLK-026056,2,50.3,Track Occupied
TRN-00102,BLK-005410,3,64.0,Track Occupied
TRN-00103,BLK-019927,3,78.4,Track Occupied
TRN-00104,BLK-029928,3,82.8,Track Occupied
TRN-00105,BLK-022314,3,93.8,Track Occupied
TRN-00106,BLK-004404,3,67.1,Track Occupied
TRN-00107,BLK-026679,2,67.7,Track Occupied
TRN-00108,BLK-011991,1,15.7,Track Occupied
TRN-00108,BLK-011992,1,15.7,Track Occupied
TRN-00109,BLK-018452,3,72.1,Track Occupied
TRN-00110,BLK-005886,1,20.6,Track Occupied
TRN-00111,BLK-032452,3,93.2,Track Occupied
TRN-00112,BLK-008440,3,56.4,Track Occupied
TRN-00113,BLK-011223,3,65.6,Track Occupied
TRN-00114,BLK-014416,3,68.5,Track Occupied
TRN-00115,BLK-014080,1,40.4,Track Occupied
TRN-00116,BLK-020742,2,67.5,Track Occupied
TRN-00116,BLK-020743,2,67.5,Track Occupied
TRN-00117,BLK-006984,2,65.1,Track Occupied
TRN-00118,BLK-020107,2,54.0,Track Occupied
TRN-00119,BLK-000446,2,99.0,Track Occupied
TRN-00120,BLK-028814,3,87.6,Track Occupied
TRN-00120,BLK-028815,3,87.6,Track Occupied
TRN-00121,BLK-030945,2,79.1,Track Occupied
TRN-00122,BLK-008196,1,33.0,Track Occupied
TRN-00123,BLK-000512,2,59.1,Track Occupied
TRN-00124,BLK-012836,3,52.9,Track Occupied
TRN-00125,BLK-002850,3,73.3,Track Occupied
TRN-00126,BLK-017700,2,50.6,Track Occupied
TRN-00127,BLK-032308,3,71.3,Track Occupied
TRN-00128,BLK-029992,3,78.8,Track Occupied
TRN-00129,BLK-017813,2,80.8,Track Occupied
TRN-00130,BLK-030416,2,58.9,Track Occupied
TRN-00131,BLK-018747,3,53.9,Track Occupied
TRN-00132,BLK-028151,2,66.9,Track Occupied
TRN-00133,BLK-007237,2,82.2,Track Occupied
TRN-00134,BLK-011959,3,65.3,Track Occupied
TRN-00134,BLK-011960,3,65.3,Track Occupied
TRN-00135,BLK-022427,3,66.0,Track Occupied
TRN-00136,BLK-012011,3,59.9,Track Occupied
TRN-00137,BLK-019357,1,26.8,Track Occupied
TRN-00138,BLK-010413,3,53.3,Track Occupied
TRN-00139,BLK-014720,2,62.4,Track Occupied
TRN-00140,BLK-007764,1,26.6,Track Occupied
TRN-00141,BLK-008791,2,65.5,Track Occupied
TRN-00142,BLK-011687,3,78.0,Track Occupied
TRN-00143,BLK-031505,2,77.8,Track Occupied
TRN-00144,BLK-001252,3,90.0,Track Occupied
TRN-00145,BLK-025015,2,43.1,Track Occupied
TRN-00146,BLK-029871,1,30.3,Track Occupied
TRN-00147,BLK-002242,3,71.8,Track Occupied
TRN-00148,BLK-028142,2,67.9,Track Occupied
TRN-00149,BLK-003993,3,74.4,Track Occupied
TRN-00150,BLK-021544,1,43.9,Track Occupied
TRN-00151,BLK-026072,3,62.5,Track Occupied
TRN-00152,BLK-012315,2,47.5,Track Occupied
TRN-00153,BLK-013159,3,73.9,Track Occupied
TRN-00154,BLK-007586,1,5.0,Track Occupied
TRN-00155,BLK-007072,3,78.4,Track Occupied
TRN-00156,BLK-016776,2,61.9,Track Occupied
TRN-00157,BLK-006954,3,83.9,Track Occupied
TRN-00158,BLK-020165,2,93.4,Track Occupied
TRN-00159,BLK-025759,2,80.7,Track Occupied
TRN-00160,BLK-019052,3,79.9,Track Occupied
TRN-00161,BLK-007702,1,47.8,Track Occupied
TRN-00162,BLK-033259,1,51.1,Track Occupied
TRN-00163,BLK-027614,3,49.6,Track Occupied
TRN-00164,BLK-017556,3,47.6,Track Occupied
TRN-00165,BLK-014308,3,82.3,Track Occupied
TRN-00166,BLK-013926,3,68.6,Track Occupied
TRN-00166,BLK-013927,3,68.6,Track Occupied
TRN-00167,BLK-017944,2,75.3,Track Occupied
TRN-00168,BLK-003768,1,32.4,Track Occupied
TRN-00169,BLK-014217,2,63.5,Track Occupied
TRN-00170,BLK-005483,3,34.8,Track Occupied
TRN-00171,BLK-008079,3,76.6,Track Occupied
TRN-00172,BLK-019386,3,73.1,Track Occupied
TRN-00172,BLK-019387,3,73.1,Track Occupied
TRN-00173,BLK-030668,2,99.0,Track Occupied
TRN-00174,BLK-011315,3,67.5,Track Occupied
TRN-00175,BLK-004207,3,76.8,Track Occupied
TRN-00176,BLK-029119,2,81.5,Track Occupied
TRN-00177,BLK-001855,2,91.7,Track Occupied
TRN-00178,BLK-028806,1,23.5,Track Occupied
TRN-00179,BLK-017068,1,11.2,Track Occupied
TRN-00180,BLK-025613,2,60.0,Track Occupied
TRN-00180,BLK-025614,2,60.0,Track Occupied
TRN-00181,BLK-006257,3,99.0,Track Occupied
TRN-00182,BLK-025954,3,56.1,Track Occupied
TRN-00183,BLK-026321,2,96.0,Track Occupied
TRN-00184,BLK-022564,3,51.3,Track Occupied
TRN-00185,BLK-008170,2,75.0,Track Occupied
TRN-00186,BLK-000387,2,73.0,Track Occupied
TRN-00187,BLK-033443,2,75.9,Track Occupied
TRN-00188,BLK-019747,3,59.0,Track Occupied
TRN-00189,BLK-020140,3,59.8,Track Occupied
TRN-00190,BLK-016642,1,12.0,Track Occupied
TRN-00191,BLK-033009,1,35.9,Track Occupied
TRN-00192,BLK-031040,2,57.9,Track Occupied
TRN-00192,BLK-031041,2,57.9,Track Occupied
TRN-00193,BLK-013415,2,63.6,Track Occupied
TRN-00194,BLK-013354,1,34.8,Track Occupied
TRN-00195,BLK-004601,1,37.0,Track Occupied
TRN-00196,BLK-025181,3,70.7,Track Occupied
TRN-00197,BLK-026766,2,67.7,Track Occupied
TRN-00198,BLK-027167,3,76.4,Track Occupied
TRN-00199,BLK-008368,3,82.6,Track Occupied
TRN-00200,BLK-007486,3,67.4,Track Occupied
TRN-00201,BLK-004960,2,57.0,Track Occupied
TRN-00202,BLK-026863,3,71.8,Track Occupied
TRN-00202,BLK-026864,3,71.8,Track Occupied
TRN-00203,BLK-017942,2,73.0,Track Occupied
TRN-00204,BLK-013543,2,63.4,Track Occupied
TRN-00205,BLK-004664,3,70.9,Track Occupied
TRN-00206,BLK-001687,2,65.6,Track Occupied
TRN-00207,BLK-033330,3,71.4,Track Occupied
TRN-00208,BLK-022453,2,62.1,Track Occupied
TRN-00209,BLK-005803,2,64.3,Track Occupied
TRN-00210,BLK-009102,3,65.4,Track Occupied
TRN-00211,BLK-000975,2,61.3,Track Occupied
TRN-00212,BLK-003721,3,67.7,Track Occupied
TRN-00213,BLK-000143,1,25.5,Track Occupied
TRN-00214,BLK-018787,3,83.1,Track Occupied
TRN-00215,BLK-020233,1,58.5,Track Occupied
TRN-00216,BLK-027410,1,39.8,Track Occupied
TRN-00217,BLK-019833,2,69.2,Track Occupied
TRN-00218,BLK-028642,3,97.9,Track Occupied
TRN-00219,BLK-003028,2,68.7,Track Occupied
TRN-00220,BLK-003505,2,95.6,Track Occupied
TRN-00221,BLK-029131,2,91.9,Track Occupied
TRN-00222,BLK-018311,2,80.9,Track Occupied
TRN-00223,BLK-001856,2,70.5,Track Occupied
TRN-00224,BLK-025827,3,92.2,Track Occupied
TRN-00225,BLK-002228,1,34.2,Track Occupied
TRN-00226,BLK-026377,1,71.2,Track Occupied
TRN-00227,BLK-012440,3,99.0,Track Occupied
TRN-00228,BLK-022076,2,35.1,Track Occupied
TRN-00229,BLK-009675,2,83.8,Track Occupied
TRN-00230,BLK-010605,2,71.2,Track Occupied
TRN-00231,BLK-002573,3,65.4,Track Occupied
TRN-00232,BLK-013473,3,75.5,Track Occupied
TRN-00233,BLK-001365,2,61.9,Track Occupied
TRN-00234,BLK-021980,3,67.5,Track Occupied
TRN-00235,BLK-031152,2,73.1,Track Occupied
TRN-00236,BLK-016612,3,93.1,Track Occupied
TRN-00237,BLK-013902,2,86.5,Track Occupied
TRN-00238,BLK-005687,3,99.0,Track Occupied
TRN-00239,BLK-023088,2,89.7,Track Occupied
TRN-00240,BLK-022240,2,72.2,Track Occupied
TRN-00241,BLK-000670,2,99.0,Track Occupied
TRN-00242,BLK-023989,3,73.9,Track Occupied
TRN-00243,BLK-009740,3,99.0,Track Occupied
TRN-00244,BLK-023106,2,69.1,Track Occupied
TRN-00245,BLK-014017,3,90.3,Track Occupied
TRN-00246,BLK-031906,2,97.5,Track Occupied
TRN-00247,BLK-016513,2,74.5,Track Occupied
TRN-00248,BLK-020357,2,46.2,Track Occupied
TRN-00249,BLK-032903,2,93.9,Track Occupied
TRN-00250,BLK-022806,3,69.5,Track Occupied
TRN-00251,BLK-009903,2,87.8,Track Occupied
TRN-00252,BLK-000489,3,71.5,Track Occupied
TRN-00253,BLK-012006,2,80.5,Track Occupied
TRN-00254,BLK-022508,1,21.4,Track Occupied
TRN-00255,BLK-020888,2,73.0,Track Occupied
TRN-00256,BLK-033560,2,35.2,Track Occupied
TRN-00257,BLK-007813,2,75.8,Track Occupied
TRN-00258,BLK-003932,3,66.7,Track Occupied
TRN-00259,BLK-014683,3,45.0,Track Occupied
TRN-00260,BLK-016536,3,77.5,Track Occupied
TRN-00261,BLK-025660,2,59.8,Track Occupied
TRN-00262,BLK-015384,3,99.0,Track Occupied
TRN-00263,BLK-019222,3,71.2,Track Occupied
TRN-00264,BLK-014685,3,65.5,Track Occupied
TRN-00265,BLK-021651,3,99.0,Track Occupied
TRN-00266,BLK-025133,2,52.6,Track Occupied
TRN-00267,BLK-016052,2,86.2,Track Occupied
TRN-00268,BLK-026983,3,48.0,Track Occupied
TRN-00268,BLK-026984,3,48.0,Track Occupied
TRN-00269,BLK-007759,1,28.6,Track Occupied
TRN-00270,BLK-029856,2,76.0,Track Occupied
TRN-00271,BLK-031530,3,64.7,Track Occupied
TRN-00272,BLK-016194,1,17.3,Track Occupied
TRN-00273,BLK-030805,2,75.9,Track Occupied
TRN-00274,BLK-002503,1,13.8,Track Occupied
TRN-00275,BLK-023297,3,89.0,Track Occupied
TRN-00276,BLK-005372,2,96.3,Track Occupied
TRN-00277,BLK-004797,2,79.1,Track Occupied
TRN-00278,BLK-011385,1,14.3,Track Occupied
TRN-00279,BLK-008471,2,60.5,Track Occupied
TRN-00279,BLK-008472,2,60.5,Track Occupied
TRN-00280,BLK-003755,3,79.3,Track Occupied
TRN-00281,BLK-025590,2,72.8,Track Occupied
TRN-00282,BLK-003884,1,26.2,Track Occupied
TRN-00283,BLK-027416,2,55.5,Track Occupied
TRN-00284,BLK-014607,3,56.0,Track Occupied
TRN-00285,BLK-016533,1,31.4,Track Occupied
TRN-00286,BLK-027666,1,37.0,Track Occupied
TRN-00287,BLK-011886,1,47.3,Track Occupied
TRN-00288,BLK-009815,3,97.1,Track Occupied
TRN-00289,BLK-003171,3,82.4,Track Occupied
TRN-00289,BLK-003172,3,82.4,Track Occupied
TRN-00290,BLK-004027,3,49.5,Track Occupied
TRN-00291,BLK-003410,3,74.4,Track Occupied
TRN-00292,BLK-030734,3,51.3,Track Occupied
TRN-00293,BLK-014534,3,80.9,Track Occupied
TRN-00294,BLK-019358,3,58.0,Track Occupied
TRN-00295,BLK-021408,3,26.2,Track Occupied
TRN-00296,BLK-006450,2,99.0,Track Occupied
TRN-00297,BLK-028762,3,69.7,Track Occupied
TRN-00298,BLK-011301,1,58.6,Track Occupied
TRN-00299,BLK-010217,1,39.4,Track Occupied
TRN-00299,BLK-010218,1,39.4,Track Occupied
TRN-00300,BLK-030227,3,72.7,Track Occupied
TRN-00301,BLK-024213,1,14.4,Track Occupied
TRN-00302,BLK-011310,2,99.0,Track Occupied
TRN-00303,BLK-009585,2,68.7,Track Occupied
TRN-00304,BLK-017602,1,15.6,Track Occupied
TRN-00305,BLK-003449,3,77.1,Track Occupied
TRN-00306,BLK-027704,1,17.1,Track Occupied
TRN-00307,BLK-011110,3,62.3,Track Occupied
TRN-00308,BLK-031742,3,68.2,Track Occupied
TRN-00309,BLK-005603,3,95.4,Track Occupied
TRN-00310,BLK-005265,3,62.0,Track Occupied
TRN-00311,BLK-001998,2,70.2,Track Occupied
TRN-00311,BLK-001999,2,70.2,Track Occupied
TRN-00312,BLK-002754,2,61.5,Track Occupied
TRN-00313,BLK-007691,3,74.6,Track Occupied
TRN-00314,BLK-029982,3,89.1,Track Occupied
TRN-00315,BLK-013757,3,99.0,Track Occupied
TRN-00316,BLK-000456,2,58.8,Track Occupied
TRN-00317,BLK-016513,1,18.7,Track Occupied
TRN-00318,BLK-004817,3,50.0,Track Occupied
TRN-00319,BLK-019799,3,83.0,Track Occupied
TRN-00320,BLK-014922,3,55.7,Track Occupied
TRN-00321,BLK-028378,3,79.2,Track Occupied
TRN-00321,BLK-028379,3,79.2,Track Occupied
TRN-00322,BLK-023846,3,73.3,Track Occupied
TRN-00323,BLK-003273,3,68.8,Track Occupied
TRN-00324,BLK-018131,2,61.9,Track Occupied
TRN-00325,BLK-004891,2,64.2,Track Occupied
TRN-00326,BLK-033538,1,64.8,Track Occupied
TRN-00326,BLK-033539,1,64.8,Track Occupied
TRN-00327,BLK-021444,2,71.1,Track Occupied
TRN-00328,BLK-012910,2,58.3,Track Occupied
TRN-00329,BLK-010317,1,27.6,Track Occupied
TRN-00330,BLK-014455,3,93.8,Track Occupied
TRN-00331,BLK-002999,2,75.5,Track Occupied
TRN-00332,BLK-032080,3,81.0,Track Occupied
TRN-00332,BLK-032081,3,81.0,Track Occupied
TRN-00333,BLK-009946,2,99.0,Track Occupied
TRN-00334,BLK-017903,2,99.0,Track Occupied
TRN-00335,BLK-002930,1,5.0,Track Occupied
TRN-00336,BLK-007186,2,52.2,Track Occupied
TRN-00337,BLK-004608,1,15.7,Track Occupied
TRN-00338,BLK-004585,1,48.3,Track Occupied
TRN-00339,BLK-009512,2,67.4,Track Occupied
TRN-00340,BLK-005865,1,5.0,Track Occupied
TRN-00341,BLK-023129,3,71.3,Track Occupied
TRN-00342,BLK-020152,2,45.0,Track Occupied
TRN-00343,BLK-005426,1,30.0,Track Occupied
TRN-00343,BLK-005427,1,30.0,Track Occupied
TRN-00344,BLK-002993,2,72.7,Track Occupied
TRN-00345,BLK-004125,2,88.7,Track Occupied
TRN-00346,BLK-008270,1,36.7,Track Occupied
TRN-00346,BLK-008271,1,36.7,Track Occupied
TRN-00347,BLK-026657,2,60.8,Track Occupied
TRN-00348,BLK-013662,2,97.5,Track Occupied
TRN-00349,BLK-032926,3,77.2,Track Occupied
TRN-00350,BLK-002810,1,47.5,Track Occupied
TRN-00351,BLK-031718,2,75.8,Track Occupied
TRN-00352,BLK-019837,2,85.4,Track Occupied
TRN-00353,BLK-012710,3,72.7,Track Occupied
TRN-00354,BLK-012258,3,88.0,Track Occupied
TRN-00354,BLK-012259,3,88.0,Track Occupied
TRN-00355,BLK-005345,3,97.1,Track Occupied
TRN-00356,BLK-007937,1,43.6,Track Occupied
TRN-00357,BLK-015363,1,38.1,Track Occupied
TRN-00358,BLK-030223,1,30.5,Track Occupied
TRN-00359,BLK-002429,3,57.4,Track Occupied
TRN-00360,BLK-012795,1,15.1,Track Occupied
TRN-00361,BLK-027692,3,93.2,Track Occupied
TRN-00362,BLK-009753,3,95.7,Track Occupied
TRN-00363,BLK-031701,3,96.9,Track Occupied
TRN-00364,BLK-024504,2,60.6,Track Occupied
TRN-00365,BLK-031600,2,80.2,Track Occupied
TRN-00366,BLK-009514,3,65.2,Track Occupied
TRN-00367,BLK-017492,2,53.3,Track Occupied
TRN-00368,BLK-021534,3,64.5,Track Occupied
TRN-00369,BLK-028296,2,48.5,Track Occupied
TRN-00370,BLK-013520,2,73.3,Track Occupied
TRN-00370,BLK-013521,2,73.3,Track Occupied
TRN-00371,BLK-025526,3,74.6,Track Occupied
TRN-00372,BLK-010358,2,97.8,Track Occupied
TRN-00373,BLK-017382,2,62.8,Track Occupied
TRN-00374,BLK-018206,1,32.2,Track Occupied
TRN-00375,BLK-000473,1,5.0,Track Occupied
TRN-00376,BLK-003290,2,65.5,Track Occupied
TRN-00377,BLK-001507,1,23.6,Track Occupied
TRN-00378,BLK-032505,2,82.3,Track Occupied
TRN-00378,BLK-032506,2,82.3,Track Occupied
TRN-00379,BLK-015367,2,63.0,Track Occupied
TRN-00380,BLK-002427,2,54.4,Track Occupied
TRN-00381,BLK-013760,3,76.4,Track Occupied
TRN-00382,BLK-031699,2,72.7,Track Occupied
TRN-00383,BLK-016405,2,73.1,Track Occupied
TRN-00384,BLK-006382,3,68.5,Track Occupied
TRN-00385,BLK-007192,2,62.4,Track Occupied
TRN-00386,BLK-015386,2,76.9,Track Occupied
TRN-00387,BLK-011021,3,85.2,Track Occupied
TRN-00388,BLK-033344,2,43.6,Track Occupied
TRN-00389,BLK-025544,1,55.5,Track Occupied
TRN-00390,BLK-007721,3,83.8,Track Occupied
TRN-00391,BLK-009292,2,67.3,Track Occupied
TRN-00392,BLK-030233,2,67.1,Track Occupied
TRN-00393,BLK-009118,3,79.5,Track Occupied
TRN-00394,BLK-014576,3,55.2,Track Occupied
TRN-00395,BLK-013145,2,99.0,Track Occupied
TRN-00396,BLK-001841,3,61.7,Track Occupied
TRN-00397,BLK-005697,1,54.8,Track Occupied
TRN-00398,BLK-009898,3,81.2,Track Occupied
TRN-00399,BLK-017459,2,87.1,Track Occupied
TRN-00400,BLK-014854,3,78.1,Track Occupied
TRN-00401,BLK-018486,2,56.4,Track Occupied
TRN-00402,BLK-023254,2,79.5,Track Occupied
TRN-00403,BLK-013089,2,69.0,Track Occupied
TRN-00404,BLK-003497,3,74.8,Track Occupied
TRN-00405,BLK-010614,3,86.9,Track Occupied
TRN-00406,BLK-025232,3,68.5,Track Occupied
TRN-00407,BLK-004850,1,31.1,Track Occupied
TRN-00408,BLK-001118,2,58.3,Track Occupied
TRN-00409,BLK-026466,3,64.4,Track Occupied
TRN-00410,BLK-006823,2,51.5,Track Occupied
TRN-00411,BLK-015729,3,54.7,Track Occupied
TRN-00412,BLK-017219,2,69.9,Track Occupied
TRN-00413,BLK-018605,2,99.0,Track Occupied
TRN-00414,BLK-019205,2,58.3,Track Occupied
TRN-00415,BLK-029983,3,66.7,Track Occupied
TRN-00416,BLK-024484,2,70.0,Track Occupied
TRN-00417,BLK-012261,3,71.0,Track Occupied
TRN-00418,BLK-018950,3,74.1,Track Occupied
TRN-00419,BLK-029102,3,70.7,Track Occupied
TRN-00420,BLK-004344,2,46.8,Track Occupied
TRN-00421,BLK-028699,2,60.0,Track Occupied
TRN-00422,BLK-016079,3,65.2,Track Occupied
TRN-00423,BLK-013617,2,81.0,Track Occupied
TRN-00424,BLK-015914,1,45.4,Track Occupied
TRN-00425,BLK-028314,2,81.3,Track Occupied
TRN-00426,BLK-029950,3,56.8,Track Occupied
TRN-00427,BLK-005423,3,69.9,Track Occupied
TRN-00427,BLK-005424,3,69.9,Track Occupied
TRN-00428,BLK-028895,2,72.6,Track Occupied
TRN-00429,BLK-028595,3,50.8,Track Occupied
TRN-00430,BLK-031807,3,83.8,Track Occupied
TRN-00431,BLK-002321,3,53.1,Track Occupied
TRN-00432,BLK-007470,3,63.0,Track Occupied
TRN-00433,BLK-012004,1,35.4,Track Occupied
TRN-00433,BLK-012005,1,35.4,Track Occupied
TRN-00434,BLK-025540,2,36.1,Track Occupied
TRN-00435,BLK-010588,2,42.8,Track Occupied
TRN-00436,BLK-027918,3,99.0,Track Occupied
TRN-00437,BLK-025907,2,66.0,Track Occupied
TRN-00438,BLK-000648,3,82.2,Track Occupied
TRN-00439,BLK-013295,2,89.7,Track Occupied
TRN-00440,BLK-010304,2,36.1,Track Occupied
TRN-00441,BLK-020809,3,61.4,Track Occupied
TRN-00442,BLK-006254,2,79.3,Track Occupied
TRN-00443,BLK-031088,3,71.0,Track Occupied
TRN-00444,BLK-005370,3,65.8,Track Occupied
TRN-00445,BLK-026549,2,65.5,Track Occupied
TRN-00445,BLK-026550,2,65.5,Track Occupied
TRN-00446,BLK-026033,1,19.2,Track Occupied
TRN-00447,BLK-019901,3,75.9,Track Occupied
TRN-00448,BLK-015027,1,29.2,Track Occupied
TRN-00449,BLK-031753,2,74.0,Track Occupied
TRN-00450,BLK-003169,2,59.8,Track Occupied
TRN-00451,BLK-010740,3,78.7,Track Occupied
TRN-00452,BLK-023663,3,39.0,Track Occupied
TRN-00453,BLK-010961,2,72.9,Track Occupied
TRN-00454,BLK-013838,3,57.2,Track Occupied
TRN-00455,BLK-020779,2,57.5,Track Occupied
TRN-00456,BLK-014586,3,99.0,Track Occupied
TRN-00457,BLK-004129,3,62.5,Track Occupied
TRN-00458,BLK-002242,1,62.7,Track Occupied
TRN-00459,BLK-029640,2,69.1,Track Occupied
TRN-00460,BLK-028664,1,34.0,Track Occupied
TRN-00461,BLK-018269,3,48.1,Track Occupied
TRN-00462,BLK-000672,1,20.3,Track Occupied
TRN-00463,BLK-022225,1,15.2,Track Occupied
TRN-00464,BLK-020102,1,44.5,Track Occupied
TRN-00465,BLK-004707,2,67.1,Track Occupied
TRN-00466,BLK-014445,2,65.1,Track Occupied
TRN-00467,BLK-025855,2,68.8,Track Occupied
TRN-00468,BLK-001358,3,77.3,Track Occupied
TRN-00469,BLK-013446,2,29.4,Track Occupied
TRN-00470,BLK-025875,3,82.7,Track Occupied
TRN-00471,BLK-001936,3,69.2,Track Occupied
TRN-00472,BLK-004481,3,72.2,Track Occupied
TRN-00473,BLK-021687,3,76.1,Track Occupied
TRN-00474,BLK-021442,1,65.1,Track Occupied
TRN-00475,BLK-020938,3,61.8,Track Occupied
TRN-00476,BLK-033006,3,78.8,Track Occupied
TRN-00477,BLK-033133,3,71.4,Track Occupied
TRN-00478,BLK-017522,3,99.0,Track Occupied
TRN-00479,BLK-008286,2,64.7,Track Occupied
TRN-00480,BLK-029811,3,68.4,Track Occupied
TRN-00481,BLK-022210,3,78.4,Track Occupied
TRN-00482,BLK-024282,2,74.4,Track Occupied
