train_id,block_id,conflict_type,priority_class,passenger_load_percent
TRN-00042,BLK-009103,Track Occupied,3,68.5
TRN-00043,BLK-011421,Track Occupied,2,57.9
TRN-00044,BLK-012729,Track Occupied,2,71.1
TRN-00045,BLK-010478,Track Occupied,1,51.4
TRN-00046,BLK-007666,Track Occupied,3,74.2
TRN-00047,BLK-013619,Track Occupied,1,29.1
TRN-00048,BLK-009212,Track Occupied,3,74.5
TRN-00049,BLK-001088,Track Occupied,2,80.8
TRN-00050,BLK-019970,Track Occupied,3,64.8
TRN-00051,BLK-018097,Track Occupied,3,98.1
TRN-00051,BLK-018098,Track Occupied,3,98.1
TRN-00052,BLK-031630,Track Occupied,1,62.7
TRN-00053,BLK-025016,Track Occupied,1,48.0
TRN-00054,BLK-025438,Track Occupied,2,56.8
TRN-00055,BLK-010964,Track Occupied,1,38.9
TRN-00056,BLK-001829,Track Occupied,1,41.8
TRN-00057,BLK-011840,Track Occupied,2,84.4
TRN-00058,BLK-017154,Track Occupied,3,84.4
TRN-00059,BLK-017256,Track Occupied,3,94.5
TRN-00060,BLK-020161,Track Occupied,2,49.6
TRN-00060,BLK-020162,Track Occupied,2,49.6
TRN-00061,BLK-021820,Track Occupied,1,37.0
TRN-00062,BLK-021555,Track Occupied,3,62.1
TRN-00063,BLK-031825,Track Occupied,2,78.4
TRN-00064,BLK-020034,Track Occupied,2,68.4
TRN-00065,BLK-026777,Track Occupied,2,99.0
TRN-00065,BLK-026778,Track Occupied,2,99.0
TRN-00066,BLK-004360,Track Occupied,2,61.6
TRN-00067,BLK-014609,Track Occupied,2,77.3
TRN-00068,BLK-024108,Track Occupied,2,67.0
TRN-00069,BLK-015260,Track Occupied,3,99.0
TRN-00070,BLK-024892,Track Occupied,3,74.4
TRN-00070,BLK-024893,Track Occupied,3,74.4
TRN-00071,BLK-016323,Track Occupied,2,61.8
TRN-00072,BLK-002942,Track Occupied,2,61.1
TRN-00073,BLK-029316,Track Occupied,3,62.0
TRN-00074,BLK-014350,Track Occupied,2,41.1
TRN-00075,BLK-007436,Track Occupied,2,57.4
TRN-00076,BLK-011444,Track Occupied,2,88.6
TRN-00077,BLK-004054,Track Occupied,1,26.7
TRN-00078,BLK-009585,Track Occupied,2,71.0
TRN-00079,BLK-005123,Track Occupied,3,88.6
TRN-00080,BLK-006916,Track Occupied,2,76.5
TRN-00081,BLK-012241,Track Occupied,3,57.8
TRN-00082,BLK-017478,Track Occupied,2,55.9
TRN-00083,BLK-030615,Track Occupied,2,51.2
TRN-00084,BLK-005645,Track Occupied,3,53.6
TRN-00084,BLK-005646,Track Occupied,3,53.6
TRN-00085,BLK-002599,Track Occupied,3,84.7
TRN-00085,BLK-002600,Track Occupied,3,84.7
TRN-00086,BLK-014691,Track Occupied,1,44.9
TRN-00087,BLK-006354,Track Occupied,2,38.0
TRN-00088,BLK-006849,Track Occupied,3,78.8
TRN-00089,BLK-019107,Track Occupied,2,61.8
TRN-00090,BLK-020886,Track Occupied,3,60.1
TRN-00091,BLK-031124,Track Occupied,3,49.0
TRN-00092,BLK-026633,Track Occupied,2,55.2
TRN-00093,BLK-003267,Track Occupied,3,99.0
TRN-00094,BLK-021626,Track Occupied,2,77.0
TRN-00095,BLK-002840,Track Occupied,1,43.2
TRN-00096,BLK-014127,Track Occupied,3,67.9
TRN-00097,BLK-015051,Track Occupied,3,66.3
TRN-00098,BLK-004289,Track Occupied,2,89.8
TRN-00098,BLK-004290,Track Occupied,2,89.8
TRN-00099,BLK-031566,Track Occupied,3,74.0
TRN-00100,BLK-004338,Track Occupied,2,99.0
TRN-00101,BLK-026056,Track Occupied,2,50.3
TRN-00102,BLK-005410,Track Occupied,3,64.0
TRN-00103,BLK-019927,Track Occupied,3,78.4
TRN-00104,BLK-029928,Track Occupied,3,82.8
TRN-00105,BLK-022314,Track Occupied,3,93.8
TRN-00106,BLK-004404,Track Occupied,3,67.1
TRN-00107,BLK-026679,Track Occupied,2,67.7
TRN-00108,BLK-011991,Track Occupied,1,15.7
TRN-00108,BLK-011992,Track Occupied,1,15.7
TRN-00109,BLK-018452,Track Occupied,3,72.1
TRN-00110,BLK-005886,Track Occupied,1,20.6
TRN-00111,BLK-032452,Track Occupied,3,93.2
TRN-00112,BLK-008440,Track Occupied,3,56.4
TRN-00113,BLK-011223,Track Occupied,3,65.6
TRN-00114,BLK-014416,Track Occupied,3,68.5
TRN-00115,BLK-014080,Track Occupied,1,40.4
TRN-00116,BLK-020742,Track Occupied,2,67.5
TRN-00116,BLK-020743,Track Occupied,2,67.5
TRN-00117,BLK-006984,Track Occupied,2,65.1
TRN-00118,BLK-020107,Track Occupied,2,54.0
TRN-00119,BLK-000446,Track Occupied,2,99.0
TRN-00120,BLK-028814,Track Occupied,3,87.6
TRN-00120,BLK-028815,Track Occupied,3,87.6
TRN-00121,BLK-030945,Track Occupied,2,79.1
TRN-00122,BLK-008196,Track Occupied,1,33.0
TRN-00123,BLK-000512,Track Occupied,2,59.1
TRN-00124,BLK-012836,Track Occupied,3,52.9
TRN-00125,BLK-002850,Track Occupied,3,73.3
TRN-00126,BLK-017700,Track Occupied,2,50.6
TRN-00127,BLK-032308,Track Occupied,3,71.3
TRN-00128,BLK-029992,Track Occupied,3,78.8
TRN-00129,BLK-017813,Track Occupied,2,80.8
TRN-00130,BLK-030416,Track Occupied,2,58.9
TRN-00131,BLK-018747,Track Occupied,3,53.9
TRN-00132,BLK-028151,Track Occupied,2,66.9
TRN-00133,BLK-007237,Track Occupied,2,82.2
TRN-00134,BLK-011959,Track Occupied,3,65.3
TRN-00134,BLK-011960,Track Occupied,3,65.3
TRN-00135,BLK-022427,Track Occupied,3,66.0
TRN-00136,BLK-012011,Track Occupied,3,59.9
TRN-00137,BLK-019357,Track Occupied,1,26.8
TRN-00138,BLK-010413,Track Occupied,3,53.3
TRN-00139,BLK-014720,Track Occupied,2,62.4
TRN-00140,BLK-007764,Track Occupied,1,26.6
TRN-00141,BLK-008791,Track Occupied,2,65.5
TRN-00142,BLK-011687,Track Occupied,3,78.0
TRN-00143,BLK-031505,Track Occupied,2,77.8
TRN-00144,BLK-001252,Track Occupied,3,90.0
TRN-00145,BLK-025015,Track Occupied,2,43.1
TRN-00146,BLK-029871,Track Occupied,1,30.3
TRN-00147,BLK-002242,Track Occupied,3,71.8
TRN-00148,BLK-028142,Track Occupied,2,67.9
TRN-00149,BLK-003993,Track Occupied,3,74.4
TRN-00150,BLK-021544,Track Occupied,1,43.9
TRN-00151,BLK-026072,Track Occupied,3,62.5
TRN-00152,BLK-012315,Track Occupied,2,47.5
TRN-00153,BLK-013159,Track Occupied,3,73.9
TRN-00154,BLK-007586,Track Occupied,1,5.0
TRN-00155,BLK-007072,Track Occupied,3,78.4
TRN-00156,BLK-016776,Track Occupied,2,61.9
TRN-00157,BLK-006954,Track Occupied,3,83.9
TRN-00158,BLK-020165,Track Occupied,2,93.4
TRN-00159,BLK-025759,Track Occupied,2,80.7
TRN-00160,BLK-019052,Track Occupied,3,79.9
TRN-00161,BLK-007702,Track Occupied,1,47.8
TRN-00162,BLK-033259,Track Occupied,1,51.1
TRN-00163,BLK-027614,Track Occupied,3,49.6
TRN-00164,BLK-017556,Track Occupied,3,47.6
TRN-00165,BLK-014308,Track Occupied,3,82.3
TRN-00166,BLK-013926,Track Occupied,3,68.6
TRN-00166,BLK-013927,Track Occupied,3,68.6
TRN-00167,BLK-017944,Track Occupied,2,75.3
TRN-00168,BLK-003768,Track Occupied,1,32.4
TRN-00169,BLK-014217,Track Occupied,2,63.5
TRN-00170,BLK-005483,Track Occupied,3,34.8
TRN-00171,BLK-008079,Track Occupied,3,76.6
TRN-00172,BLK-019386,Track Occupied,3,73.1
TRN-00172,BLK-019387,Track Occupied,3,73.1
TRN-00173,BLK-030668,Track Occupied,2,99.0
TRN-00174,BLK-011315,Track Occupied,3,67.5
TRN-00175,BLK-004207,Track Occupied,3,76.8
TRN-00176,BLK-029119,Track Occupied,2,81.5
TRN-00177,BLK-001855,Track Occupied,2,91.7
TRN-00178,BLK-028806,Track Occupied,1,23.5
TRN-00179,BLK-017068,Track Occupied,1,11.2
TRN-00180,BLK-025613,Track Occupied,2,60.0
TRN-00180,BLK-025614,Track Occupied,2,60.0
TRN-00181,BLK-006257,Track Occupied,3,99.0
TRN-00182,BLK-025954,Track Occupied,3,56.1
TRN-00183,BLK-026321,Track Occupied,2,96.0
TRN-00184,BLK-022564,Track Occupied,3,51.3
TRN-00185,BLK-008170,Track Occupied,2,75.0
TRN-00186,BLK-000387,Track Occupied,2,73.0
TRN-00187,BLK-033443,Track Occupied,2,75.9
TRN-00188,BLK-019747,Track Occupied,3,59.0
TRN-00189,BLK-020140,Track Occupied,3,59.8
TRN-00190,BLK-016642,Track Occupied,1,12.0
TRN-00191,BLK-033009,Track Occupied,1,35.9
TRN-00192,BLK-031040,Track Occupied,2,57.9
TRN-00192,BLK-031041,Track Occupied,2,57.9
TRN-00193,BLK-013415,Track Occupied,2,63.6
TRN-00194,BLK-013354,Track Occupied,1,34.8
TRN-00195,BLK-004601,Track Occupied,1,37.0
TRN-00196,BLK-025181,Track Occupied,3,70.7
TRN-00197,BLK-026766,Track Occupied,2,67.7
TRN-00198,BLK-027167,Track Occupied,3,76.4
TRN-00199,BLK-008368,Track Occupied,3,82.6
TRN-00200,BLK-007486,Track Occupied,3,67.4
TRN-00201,BLK-004960,Track Occupied,2,57.0
TRN-00202,BLK-026863,Track Occupied,3,71.8
TRN-00202,BLK-026864,Track Occupied,3,71.8
TRN-00203,BLK-017942,Track Occupied,2,73.0
TRN-00204,BLK-013543,Track Occupied,2,63.4
TRN-00205,BLK-004664,Track Occupied,3,70.9
TRN-00206,BLK-001687,Track Occupied,2,65.6
TRN-00207,BLK-033330,Track Occupied,3,71.4
TRN-00208,BLK-022453,Track Occupied,2,62.1
TRN-00209,BLK-005803,Track Occupied,2,64.3
TRN-00210,BLK-009102,Track Occupied,3,65.4
TRN-00211,BLK-000975,Track Occupied,2,61.3
TRN-00212,BLK-003721,Track Occupied,3,67.7
TRN-00213,BLK-000143,Track Occupied,1,25.5
TRN-00214,BLK-018787,Track Occupied,3,83.1
TRN-00215,BLK-020233,Track Occupied,1,58.5
TRN-00216,BLK-027410,Track Occupied,1,39.8
TRN-00217,BLK-019833,Track Occupied,2,69.2
TRN-00218,BLK-028642,Track Occupied,3,97.9
TRN-00219,BLK-003028,Track Occupied,2,68.7
TRN-00220,BLK-003505,Track Occupied,2,95.6
TRN-00221,BLK-029131,Track Occupied,2,91.9
TRN-00222,BLK-018311,Track Occupied,2,80.9
TRN-00223,BLK-001856,Track Occupied,2,70.5
TRN-00224,BLK-025827,Track Occupied,3,92.2
TRN-00225,BLK-002228,Track Occupied,1,34.2
TRN-00226,BLK-026377,Track Occupied,1,71.2
TRN-00227,BLK-012440,Track Occupied,3,99.0
TRN-00228,BLK-022076,Track Occupied,2,35.1
TRN-00229,BLK-009675,Track Occupied,2,83.8
TRN-00230,BLK-010605,Track Occupied,2,71.2
TRN-00231,BLK-002573,Track Occupied,3,65.4
TRN-00232,BLK-013473,Track Occupied,3,75.5
TRN-00233,BLK-001365,Track Occupied,2,61.9
TRN-00234,BLK-021980,Track Occupied,3,67.5
TRN-00235,BLK-031152,Track Occupied,2,73.1
TRN-00236,BLK-016612,Track Occupied,3,93.1
TRN-00237,BLK-013902,Track Occupied,2,86.5
TRN-00238,BLK-005687,Track Occupied,3,99.0
TRN-00239,BLK-023088,Track Occupied,2,89.7
TRN-00240,BLK-022240,Track Occupied,2,72.2
TRN-00241,BLK-000670,Track Occupied,2,99.0
TRN-00242,BLK-023989,Track Occupied,3,73.9
TRN-00243,BLK-009740,Track Occupied,3,99.0
TRN-00244,BLK-023106,Track Occupied,2,69.1
TRN-00245,BLK-014017,Track Occupied,3,90.3
TRN-00246,BLK-031906,Track Occupied,2,97.5
TRN-00247,BLK-016513,Track Occupied,2,74.5
TRN-00248,BLK-020357,Track Occupied,2,46.2
TRN-00249,BLK-032903,Track Occupied,2,93.9
TRN-00250,BLK-022806,Track Occupied,3,69.5
TRN-00251,BLK-009903,Track Occupied,2,87.8
TRN-00252,BLK-000489,Track Occupied,3,71.5
TRN-00253,BLK-012006,Track Occupied,2,80.5
TRN-00254,BLK-022508,Track Occupied,1,21.4
TRN-00255,BLK-020888,Track Occupied,2,73.0
TRN-00256,BLK-033560,Track Occupied,2,35.2
TRN-00257,BLK-007813,Track Occupied,2,75.8
TRN-00258,BLK-003932,Track Occupied,3,66.7
TRN-00259,BLK-014683,Track Occupied,3,45.0
TRN-00260,BLK-016536,Track Occupied,3,77.5
TRN-00261,BLK-025660,Track Occupied,2,59.8
TRN-00262,BLK-015384,Track Occupied,3,99.0
TRN-00263,BLK-019222,Track Occupied,3,71.2
TRN-00264,BLK-014685,Track Occupied,3,65.5
TRN-00265,BLK-021651,Track Occupied,3,99.0
TRN-00266,BLK-025133,Track Occupied,2,52.6
TRN-00267,BLK-016052,Track Occupied,2,86.2
TRN-00268,BLK-026983,Track Occupied,3,48.0
TRN-00268,BLK-026984,Track Occupied,3,48.0
TRN-00269,BLK-007759,Track Occupied,1,28.6
TRN-00270,BLK-029856,Track Occupied,2,76.0
TRN-00271,BLK-031530,Track Occupied,3,64.7
TRN-00272,BLK-016194,Track Occupied,1,17.3
TRN-00273,BLK-030805,Track Occupied,2,75.9
TRN-00274,BLK-002503,Track Occupied,1,13.8
TRN-00275,BLK-023297,Track Occupied,3,89.0
TRN-00276,BLK-005372,Track Occupied,2,96.3
TRN-00277,BLK-004797,Track Occupied,2,79.1
TRN-00278,BLK-011385,Track Occupied,1,14.3
TRN-00279,BLK-008471,Track Occupied,2,60.5
TRN-00279,BLK-008472,Track Occupied,2,60.5
TRN-00280,BLK-003755,Track Occupied,3,79.3
TRN-00281,BLK-025590,Track Occupied,2,72.8
TRN-00282,BLK-003884,Track Occupied,1,26.2
TRN-00283,BLK-027416,Track Occupied,2,55.5
TRN-00284,BLK-014607,Track Occupied,3,56.0
TRN-00285,BLK-016533,Track Occupied,1,31.4
TRN-00286,BLK-027666,Track Occupied,1,37.0
TRN-00287,BLK-011886,Track Occupied,1,47.3
TRN-00288,BLK-009815,Track Occupied,3,97.1
TRN-00289,BLK-003171,Track Occupied,3,82.4
TRN-00289,BLK-003172,Track Occupied,3,82.4
TRN-00290,BLK-004027,Track Occupied,3,49.5
TRN-00291,BLK-003410,Track Occupied,3,74.4
TRN-00292,BLK-030734,Track Occupied,3,51.3
TRN-00293,BLK-014534,Track Occupied,3,80.9
TRN-00294,BLK-019358,Track Occupied,3,58.0
TRN-00295,BLK-021408,Track Occupied,3,26.2
TRN-00296,BLK-006450,Track Occupied,2,99.0
TRN-00297,BLK-028762,Track Occupied,3,69.7
TRN-00298,BLK-011301,Track Occupied,1,58.6
TRN-00299,BLK-010217,Track Occupied,1,39.4
TRN-00299,BLK-010218,Track Occupied,1,39.4
TRN-00300,BLK-030227,Track Occupied,3,72.7
TRN-00301,BLK-024213,Track Occupied,1,14.4
TRN-00302,BLK-011310,Track Occupied,2,99.0
TRN-00303,BLK-009585,Track Occupied,2,68.7
TRN-00304,BLK-017602,Track Occupied,1,15.6
TRN-00305,BLK-003449,Track Occupied,3,77.1
TRN-00306,BLK-027704,Track Occupied,1,17.1
TRN-00307,BLK-011110,Track Occupied,3,62.3
TRN-00308,BLK-031742,Track Occupied,3,68.2
TRN-00309,BLK-005603,Track Occupied,3,95.4
TRN-00310,BLK-005265,Track Occupied,3,62.0
TRN-00311,BLK-001998,Track Occupied,2,70.2
TRN-00311,BLK-001999,Track Occupied,2,70.2
TRN-00312,BLK-002754,Track Occupied,2,61.5
TRN-00313,BLK-007691,Track Occupied,3,74.6
TRN-00314,BLK-029982,Track Occupied,3,89.1
TRN-00315,BLK-013757,Track Occupied,3,99.0
TRN-00316,BLK-000456,Track Occupied,2,58.8
TRN-00317,BLK-016513,Track Occupied,1,18.7
TRN-00318,BLK-004817,Track Occupied,3,50.0
TRN-00319,BLK-019799,Track Occupied,3,83.0
TRN-00320,BLK-014922,Track Occupied,3,55.7
TRN-00321,BLK-028378,Track Occupied,3,79.2
TRN-00321,BLK-028379,Track Occupied,3,79.2
TRN-00322,BLK-023846,Track Occupied,3,73.3
TRN-00323,BLK-003273,Track Occupied,3,68.8
TRN-00324,BLK-018131,Track Occupied,2,61.9
TRN-00325,BLK-004891,Track Occupied,2,64.2
TRN-00326,BLK-033538,Track Occupied,1,64.8
TRN-00326,BLK-033539,Track Occupied,1,64.8
TRN-00327,BLK-021444,Track Occupied,2,71.1
TRN-00328,BLK-012910,Track Occupied,2,58.3
TRN-00329,BLK-010317,Track Occupied,1,27.6
TRN-00330,BLK-014455,Track Occupied,3,93.8
TRN-00331,BLK-002999,Track Occupied,2,75.5
TRN-00332,BLK-032080,Track Occupied,3,81.0
TRN-00332,BLK-032081,Track Occupied,3,81.0
TRN-00333,BLK-009946,Track Occupied,2,99.0
TRN-00334,BLK-017903,Track Occupied,2,99.0
TRN-00335,BLK-002930,Track Occupied,1,5.0
TRN-00336,BLK-007186,Track Occupied,2,52.2
TRN-00337,BLK-004608,Track Occupied,1,15.7
TRN-00338,BLK-004585,Track Occupied,1,48.3
TRN-00339,BLK-009512,Track Occupied,2,67.4
TRN-00340,BLK-005865,Track Occupied,1,5.0
TRN-00341,BLK-023129,Track Occupied,3,71.3
TRN-00342,BLK-020152,Track Occupied,2,45.0
TRN-00343,BLK-005426,Track Occupied,1,30.0
TRN-00343,BLK-005427,Track Occupied,1,30.0
TRN-00344,BLK-002993,Track Occupied,2,72.7
TRN-00345,BLK-004125,Track Occupied,2,88.7
TRN-00346,BLK-008270,Track Occupied,1,36.7
TRN-00346,BLK-008271,Track Occupied,1,36.7
TRN-00347,BLK-026657,Track Occupied,2,60.8
TRN-00348,BLK-013662,Track Occupied,2,97.5
TRN-00349,BLK-032926,Track Occupied,3,77.2
TRN-00350,BLK-002810,Track Occupied,1,47.5
TRN-00351,BLK-031718,Track Occupied,2,75.8
TRN-00352,BLK-019837,Track Occupied,2,85.4
TRN-00353,BLK-012710,Track Occupied,3,72.7
TRN-00354,BLK-012258,Track Occupied,3,88.0
TRN-00354,BLK-012259,Track Occupied,3,88.0
TRN-00355,BLK-005345,Track Occupied,3,97.1
TRN-00356,BLK-007937,Track Occupied,1,43.6
TRN-00357,BLK-015363,Track Occupied,1,38.1
TRN-00358,BLK-030223,Track Occupied,1,30.5
TRN-00359,BLK-002429,Track Occupied,3,57.4
TRN-00360,BLK-012795,Track Occupied,1,15.1
TRN-00361,BLK-027692,Track Occupied,3,93.2
TRN-00362,BLK-009753,Track Occupied,3,95.7
TRN-00363,BLK-031701,Track Occupied,3,96.9
TRN-00364,BLK-024504,Track Occupied,2,60.6
TRN-00365,BLK-031600,Track Occupied,2,80.2
TRN-00366,BLK-009514,Track Occupied,3,65.2
TRN-00367,BLK-017492,Track Occupied,2,53.3
TRN-00368,BLK-021534,Track Occupied,3,64.5
TRN-00369,BLK-028296,Track Occupied,2,48.5
TRN-00370,BLK-013520,Track Occupied,2,73.3
TRN-00370,BLK-013521,Track Occupied,2,73.3
TRN-00371,BLK-025526,Track Occupied,3,74.6
TRN-00372,BLK-010358,Track Occupied,2,97.8
TRN-00373,BLK-017382,Track Occupied,2,62.8
TRN-00374,BLK-018206,Track Occupied,1,32.2
TRN-00375,BLK-000473,Track Occupied,1,5.0
TRN-00376,BLK-003290,Track Occupied,2,65.5
TRN-00377,BLK-001507,Track Occupied,1,23.6
TRN-00378,BLK-032505,Track Occupied,2,82.3
TRN-00378,BLK-032506,Track Occupied,2,82.3
TRN-00379,BLK-015367,Track Occupied,2,63.0
TRN-00380,BLK-002427,Track Occupied,2,54.4
TRN-00381,BLK-013760,Track Occupied,3,76.4
TRN-00382,BLK-031699,Track Occupied,2,72.7
TRN-00383,BLK-016405,Track Occupied,2,73.1
TRN-00384,BLK-006382,Track Occupied,3,68.5
TRN-00385,BLK-007192,Track Occupied,2,62.4
TRN-00386,BLK-015386,Track Occupied,2,76.9
TRN-00387,BLK-011021,Track Occupied,3,85.2
TRN-00388,BLK-033344,Track Occupied,2,43.6
TRN-00389,BLK-025544,Track Occupied,1,55.5
TRN-00390,BLK-007721,Track Occupied,3,83.8
TRN-00391,BLK-009292,Track Occupied,2,67.3
TRN-00392,BLK-030233,Track Occupied,2,67.1
TRN-00393,BLK-009118,Track Occupied,3,79.5
TRN-00394,BLK-014576,Track Occupied,3,55.2
TRN-00395,BLK-013145,Track Occupied,2,99.0
TRN-00396,BLK-001841,Track Occupied,3,61.7
TRN-00397,BLK-005697,Track Occupied,1,54.8
TRN-00398,BLK-009898,Track Occupied,3,81.2
TRN-00399,BLK-017459,Track Occupied,2,87.1
TRN-00400,BLK-014854,Track Occupied,3,78.1
TRN-00401,BLK-018486,Track Occupied,2,56.4
TRN-00402,BLK-023254,Track Occupied,2,79.5
TRN-00403,BLK-013089,Track Occupied,2,69.0
TRN-00404,BLK-003497,Track Occupied,3,74.8
TRN-00405,BLK-010614,Track Occupied,3,86.9
TRN-00406,BLK-025232,Track Occupied,3,68.5
TRN-00407,BLK-004850,Track Occupied,1,31.1
TRN-00408,BLK-001118,Track Occupied,2,58.3
TRN-00409,BLK-026466,Track Occupied,3,64.4
TRN-00410,BLK-006823,Track Occupied,2,51.5
TRN-00411,BLK-015729,Track Occupied,3,54.7
TRN-00412,BLK-017219,Track Occupied,2,69.9
TRN-00413,BLK-018605,Track Occupied,2,99.0
TRN-00414,BLK-019205,Track Occupied,2,58.3
TRN-00415,BLK-029983,Track Occupied,3,66.7
TRN-00416,BLK-024484,Track Occupied,2,70.0
TRN-00417,BLK-012261,Track Occupied,3,71.0
TRN-00418,BLK-018950,Track Occupied,3,74.1
TRN-00419,BLK-029102,Track Occupied,3,70.7
TRN-00420,BLK-004344,Track Occupied,2,46.8
TRN-00421,BLK-028699,Track Occupied,2,60.0
TRN-00422,BLK-016079,Track Occupied,3,65.2
TRN-00423,BLK-013617,Track Occupied,2,81.0
TRN-00424,BLK-015914,Track Occupied,1,45.4
TRN-00425,BLK-028314,Track Occupied,2,81.3
TRN-00426,BLK-029950,Track Occupied,3,56.8
TRN-00427,BLK-005423,Track Occupied,3,69.9
TRN-00427,BLK-005424,Track Occupied,3,69.9
TRN-00428,BLK-028895,Track Occupied,2,72.6
TRN-00429,BLK-028595,Track Occupied,3,50.8
TRN-00430,BLK-031807,Track Occupied,3,83.8
TRN-00431,BLK-002321,Track Occupied,3,53.1
TRN-00432,BLK-007470,Track Occupied,3,63.0
TRN-00433,BLK-012004,Track Occupied,1,35.4
TRN-00433,BLK-012005,Track Occupied,1,35.4
TRN-00434,BLK-025540,Track Occupied,2,36.1
TRN-00435,BLK-010588,Track Occupied,2,42.8
TRN-00436,BLK-027918,Track Occupied,3,99.0
TRN-00437,BLK-025907,Track Occupied,2,66.0
TRN-00438,BLK-000648,Track Occupied,3,82.2
TRN-00439,BLK-013295,Track Occupied,2,89.7
TRN-00440,BLK-010304,Track Occupied,2,36.1
TRN-00441,BLK-020809,Track Occupied,3,61.4
TRN-00442,BLK-006254,Track Occupied,2,79.3
TRN-00443,BLK-031088,Track Occupied,3,71.0
TRN-00444,BLK-005370,Track Occupied,3,65.8
TRN-00445,BLK-026549,Track Occupied,2,65.5
TRN-00445,BLK-026550,Track Occupied,2,65.5
TRN-00446,BLK-026033,Track Occupied,1,19.2
TRN-00447,BLK-019901,Track Occupied,3,75.9
TRN-00448,BLK-015027,Track Occupied,1,29.2
TRN-00449,BLK-031753,Track Occupied,2,74.0
TRN-00450,BLK-003169,Track Occupied,2,59.8
TRN-00451,BLK-010740,Track Occupied,3,78.7
TRN-00452,BLK-023663,Track Occupied,3,39.0
TRN-00453,BLK-010961,Track Occupied,2,72.9
TRN-00454,BLK-013838,Track Occupied,3,57.2
TRN-00455,BLK-020779,Track Occupied,2,57.5
TRN-00456,BLK-014586,Track Occupied,3,99.0
TRN-00457,BLK-004129,Track Occupied,3,62.5
TRN-00458,BLK-002242,Track Occupied,1,62.7
TRN-00459,BLK-029640,Track Occupied,2,69.1
TRN-00460,BLK-028664,Track Occupied,1,34.0
TRN-00461,BLK-018269,Track Occupied,3,48.1
TRN-00462,BLK-000672,Track Occupied,1,20.3
TRN-00463,BLK-022225,Track Occupied,1,15.2
TRN-00464,BLK-020102,Track Occupied,1,44.5
TRN-00465,BLK-004707,Track Occupied,2,67.1
TRN-00466,BLK-014445,Track Occupied,2,65.1
TRN-00467,BLK-025855,Track Occupied,2,68.8
TRN-00468,BLK-001358,Track Occupied,3,77.3
TRN-00469,BLK-013446,Track Occupied,2,29.4
TRN-00470,BLK-025875,Track Occupied,3,82.7
TRN-00471,BLK-001936,Track Occupied,3,69.2
TRN-00472,BLK-004481,Track Occupied,3,72.2
TRN-00473,BLK-021687,Track Occupied,3,76.1
TRN-00474,BLK-021442,Track Occupied,1,65.1
TRN-00475,BLK-020938,Track Occupied,3,61.8
TRN-00476,BLK-033006,Track Occupied,3,78.8
TRN-00477,BLK-033133,Track Occupied,3,71.4
TRN-00478,BLK-017522,Track Occupied,3,99.0
TRN-00479,BLK-008286,Track Occupied,2,64.7
TRN-00480,BLK-029811,Track Occupied,3,68.4
TRN-00481,BLK-022210,Track Occupied,3,78.4
TRN-00482,BLK-024282,Track Occupied,2,74.4
