block_id,date,corridor_id,section_id,start_minute,end_minute,duration_minutes,track_available,block_type,night_preference,max_simultaneous_tasks
BLK-000133,2026-09-03,COR-002,SEC-0012,0,120,120,No,Planned,Yes,1
BLK-000134,2026-09-03,COR-002,SEC-0012,120,240,120,Yes,Routine,Yes,1
BLK-000135,2026-09-03,COR-002,SEC-0012,240,360,120,No,Planned,Yes,2
BLK-000136,2026-09-03,COR-002,SEC-0012,360,480,120,Yes,Planned,No,1
BLK-000137,2026-09-03,COR-002,SEC-0012,480,600,120,No,Planned,No,1
BLK-000138,2026-09-03,COR-002,SEC-0012,600,720,120,No,Planned,No,2
BLK-000139,2026-09-03,COR-002,SEC-0012,720,840,120,Yes,Planned,No,2
BLK-000140,2026-09-03,COR-002,SEC-0012,840,960,120,Yes,Planned,No,2
BLK-000141,2026-09-03,COR-002,SEC-0012,960,1080,120,Yes,Planned,No,1
BLK-000142,2026-09-03,COR-002,SEC-0012,1080,1200,120,Yes,Routine,No,2
BLK-000143,2026-09-03,COR-002,SEC-0012,1200,1320,120,Yes,Planned,Yes,2
BLK-000144,2026-09-03,COR-002,SEC-0012,1320,1440,120,Yes,Routine,Yes,2
BLK-000145,2026-09-03,COR-002,SEC-0013,0,120,120,Yes,Emergency Reserve,Yes,2
BLK-000146,2026-09-03,COR-002,SEC-0013,120,240,120,Yes,Emergency Reserve,Yes,1
BLK-000147,2026-09-03,COR-002,SEC-0013,240,360,120,Yes,Planned,Yes,3
BLK-000148,2026-09-03,COR-002,SEC-0013,360,480,120,Yes,Planned,No,2
BLK-000149,2026-09-03,COR-002,SEC-0013,480,600,120,No,Planned,No,3
BLK-000150,2026-09-03,COR-002,SEC-0013,600,720,120,Yes,Planned,No,2
BLK-000151,2026-09-03,COR-002,SEC-0013,720,840,120,Yes,Routine,No,3
BLK-000152,2026-09-03,COR-002,SEC-0013,840,960,120,Yes,Emergency Reserve,No,3
BLK-000153,2026-09-03,COR-002,SEC-0013,960,1080,120,Yes,Planned,No,2
BLK-000154,2026-09-03,COR-002,SEC-0013,1080,1200,120,Yes,Emergency Reserve,No,1
BLK-000155,2026-09-03,COR-002,SEC-0013,1200,1320,120,No,Planned,Yes,2
BLK-000156,2026-09-03,COR-002,SEC-0013,1320,1440,120,Yes,Planned,Yes,2
BLK-000157,2026-09-03,COR-002,SEC-0014,0,120,120,Yes,Planned,Yes,1
BLK-000158,2026-09-03,COR-002,SEC-0014,120,240,120,Yes,Planned,Yes,1
BLK-000159,2026-09-03,COR-002,SEC-0014,240,360,120,Yes,Planned,Yes,2
BLK-000160,2026-09-03,COR-002,SEC-0014,360,480,120,Yes,Planned,No,2
BLK-000161,2026-09-03,COR-002,SEC-0014,480,600,120,No,Planned,No,2
BLK-000162,2026-09-03,COR-002,SEC-0014,600,720,120,Yes,Planned,No,2
BLK-000163,2026-09-03,COR-002,SEC-0014,720,840,120,No,Planned,No,1
BLK-000164,2026-09-03,COR-002,SEC-0014,840,960,120,Yes,Planned,No,2
BLK-000165,2026-09-03,COR-002,SEC-0014,960,1080,120,Yes,Routine,No,2
BLK-000166,2026-09-03,COR-002,SEC-0014,1080,1200,120,Yes,Routine,No,1
BLK-000167,2026-09-03,COR-002,SEC-0014,1200,1320,120,Yes,Routine,Yes,1
BLK-000168,2026-09-03,COR-002,SEC-0014,1320,1440,120,Yes,Planned,Yes,3
BLK-000169,2026-09-03,COR-002,SEC-0015,0,120,120,Yes,Planned,Yes,1
BLK-000170,2026-09-03,COR-002,SEC-0015,120,240,120,Yes,Planned,Yes,3
BLK-000171,2026-09-03,COR-002,SEC-0015,240,360,120,Yes,Planned,Yes,3
BLK-000172,2026-09-03,COR-002,SEC-0015,360,480,120,Yes,Planned,No,1
BLK-000173,2026-09-03,COR-002,SEC-0015,480,600,120,Yes,Planned,No,1
BLK-000174,2026-09-03,COR-002,SEC-0015,600,720,120,Yes,Planned,No,2
BLK-000175,2026-09-03,COR-002,SEC-0015,720,840,120,No,Planned,No,2
BLK-000176,2026-09-03,COR-002,SEC-0015,840,960,120,Yes,Planned,No,1
BLK-000177,2026-09-03,COR-002,SEC-0015,960,1080,120,Yes,Emergency Reserve,No,2
BLK-000178,2026-09-03,COR-002,SEC-0015,1080,1200,120,Yes,Planned,No,1
BLK-000179,2026-09-03,COR-002,SEC-0015,1200,1320,120,Yes,Planned,Yes,1
BLK-000180,2026-09-03,COR-002,SEC-0015,1320,1440,120,Yes,Planned,Yes,2
BLK-000181,2026-09-03,COR-002,SEC-0016,0,120,120,Yes,Planned,Yes,3
BLK-000182,2026-09-03,COR-002,SEC-0016,120,240,120,Yes,Emergency Reserve,Yes,3
BLK-000183,2026-09-03,COR-002,SEC-0016,240,360,120,Yes,Planned,Yes,2
BLK-000184,2026-09-03,COR-002,SEC-0016,360,480,120,Yes,Planned,No,2
BLK-000185,2026-09-03,COR-002,SEC-0016,480,600,120,Yes,Planned,No,1
BLK-000186,2026-09-03,COR-002,SEC-0016,600,720,120,Yes,Planned,No,1
BLK-000187,2026-09-03,COR-002,SEC-0016,720,840,120,Yes,Planned,No,1
BLK-000188,2026-09-03,COR-002,SEC-0016,840,960,120,No,Planned,No,2
BLK-000189,2026-09-03,COR-002,SEC-0016,960,1080,120,Yes,Planned,No,2
BLK-000190,2026-09-03,COR-002,SEC-0016,1080,1200,120,No,Planned,No,2
BLK-000191,2026-09-03,COR-002,SEC-0016,1200,1320,120,Yes,Routine,Yes,2
BLK-000192,2026-09-03,COR-002,SEC-0016,1320,1440,120,Yes,Planned,Yes,1
BLK-000193,2026-09-03,COR-002,SEC-0017,0,120,120,Yes,Routine,Yes,1
BLK-000194,2026-09-03,COR-002,SEC-0017,120,240,120,Yes,Planned,Yes,1
BLK-000195,2026-09-03,COR-002,SEC-0017,240,360,120,Yes,Routine,Yes,1
BLK-000196,2026-09-03,COR-002,SEC-0017,360,480,120,Yes,Emergency Reserve,No,1
BLK-000197,2026-09-03,COR-002,SEC-0017,480,600,120,Yes,Planned,No,1
BLK-000198,2026-09-03,COR-002,SEC-0017,600,720,120,Yes,Routine,No,3
BLK-000199,2026-09-03,COR-002,SEC-0017,720,840,120,Yes,Planned,No,2
BLK-000200,2026-09-03,COR-002,SEC-0017,840,960,120,Yes,Planned,No,1
BLK-000201,2026-09-03,COR-002,SEC-0017,960,1080,120,Yes,Planned,No,2
BLK-000202,2026-09-03,COR-002,SEC-0017,1080,1200,120,Yes,Planned,No,1
BLK-000203,2026-09-03,COR-002,SEC-0017,1200,1320,120,Yes,Planned,Yes,2
BLK-000204,2026-09-03,COR-002,SEC-0017,1320,1440,120,No,Routine,Yes,1
BLK-000205,2026-09-03,COR-002,SEC-0018,0,120,120,Yes,Planned,Yes,2
BLK-000206,2026-09-03,COR-002,SEC-0018,120,240,120,Yes,Planned,Yes,3
BLK-000207,2026-09-03,COR-002,SEC-0018,240,360,120,Yes,Routine,Yes,1
BLK-000208,2026-09-03,COR-002,SEC-0018,360,480,120,No,Planned,No,1
BLK-000209,2026-09-03,COR-002,SEC-0018,480,600,120,Yes,Planned,No,2
BLK-000210,2026-09-03,COR-002,SEC-0018,600,720,120,No,Planned,No,2
BLK-000211,2026-09-03,COR-002,SEC-0018,720,840,120,No,Planned,No,1
BLK-000212,2026-09-03,COR-002,SEC-0018,840,960,120,Yes,Planned,No,1
BLK-000213,2026-09-03,COR-002,SEC-0018,960,1080,120,Yes,Routine,No,2
BLK-000214,2026-09-03,COR-002,SEC-0018,1080,1200,120,Yes,Planned,No,1
BLK-000215,2026-09-03,COR-002,SEC-0018,1200,1320,120,Yes,Planned,Yes,1
BLK-000216,2026-09-03,COR-002,SEC-0018,1320,1440,120,Yes,Emergency Reserve,Yes,1
BLK-000217,2026-09-03,COR-002,SEC-0019,0,120,120,Yes,Emergency Reserve,Yes,2
BLK-000218,2026-09-03,COR-002,SEC-0019,120,240,120,Yes,Routine,Yes,1
BLK-000219,2026-09-03,COR-002,SEC-0019,240,360,120,Yes,Planned,Yes,1
BLK-000220,2026-09-03,COR-002,SEC-0019,360,480,120,Yes,Planned,No,1
BLK-000221,2026-09-03,COR-002,SEC-0019,480,600,120,Yes,Emergency Reserve,No,3
BLK-000222,2026-09-03,COR-002,SEC-0019,600,720,120,Yes,Routine,No,3
BLK-000223,2026-09-03,COR-002,SEC-0019,720,840,120,No,Planned,No,1
BLK-000224,2026-09-03,COR-002,SEC-0019,840,960,120,Yes,Planned,No,1
BLK-000225,2026-09-03,COR-002,SEC-0019,960,1080,120,Yes,Routine,No,1
BLK-000226,2026-09-03,COR-002,SEC-0019,1080,1200,120,Yes,Routine,No,3
BLK-000227,2026-09-03,COR-002,SEC-0019,1200,1320,120,Yes,Routine,Yes,3
BLK-000228,2026-09-03,COR-002,SEC-0019,1320,1440,120,Yes,Planned,Yes,2
BLK-000229,2026-09-03,COR-002,SEC-0020,0,120,120,Yes,Routine,Yes,3
BLK-000230,2026-09-03,COR-002,SEC-0020,120,240,120,Yes,Routine,Yes,2
BLK-000231,2026-09-03,COR-002,SEC-0020,240,360,120,Yes,Planned,Yes,2
BLK-000232,2026-09-03,COR-002,SEC-0020,360,480,120,Yes,Emergency Reserve,No,2
BLK-000233,2026-09-03,COR-002,SEC-0020,480,600,120,Yes,Planned,No,2
BLK-000234,2026-09-03,COR-002,SEC-0020,600,720,120,Yes,Routine,No,2
BLK-000235,2026-09-03,COR-002,SEC-0020,720,840,120,Yes,Planned,No,1
BLK-000236,2026-09-03,COR-002,SEC-0020,840,960,120,Yes,Planned,No,2
BLK-000237,2026-09-03,COR-002,SEC-0020,960,1080,120,Yes,Planned,No,1
BLK-000238,2026-09-03,COR-002,SEC-0020,1080,1200,120,Yes,Planned,No,2
BLK-000239,2026-09-03,COR-002,SEC-0020,1200,1320,120,Yes,Planned,Yes,1
BLK-000240,2026-09-03,COR-002,SEC-0020,1320,1440,120,Yes,Planned,Yes,1
BLK-000241,2026-09-03,COR-003,SEC-0021,0,120,120,Yes,Planned,Yes,2
BLK-000242,2026-09-03,COR-003,SEC-0021,120,240,120,Yes,Planned,Yes,2
BLK-000243,2026-09-03,COR-003,SEC-0021,240,360,120,Yes,Routine,Yes,2
BLK-000244,2026-09-03,COR-003,SEC-0021,360,480,120,Yes,Routine,No,1
BLK-000245,2026-09-03,COR-003,SEC-0021,480,600,120,Yes,Planned,No,2
BLK-000246,2026-09-03,COR-003,SEC-0021,600,720,120,No,Planned,No,3
BLK-000247,2026-09-03,COR-003,SEC-0021,720,840,120,Yes,Routine,No,2
BLK-000248,2026-09-03,COR-003,SEC-0021,840,960,120,No,Emergency Reserve,No,1
BLK-000249,2026-09-03,COR-003,SEC-0021,960,1080,120,Yes,Planned,No,2
BLK-000250,2026-09-03,COR-003,SEC-0021,1080,1200,120,Yes,Planned,No,2
BLK-000251,2026-09-03,COR-003,SEC-0021,1200,1320,120,Yes,Planned,Yes,3
BLK-000252,2026-09-03,COR-003,SEC-0021,1320,1440,120,No,Planned,Yes,1
BLK-000253,2026-09-03,COR-003,SEC-0022,0,120,120,Yes,Planned,Yes,2
BLK-000254,2026-09-03,COR-003,SEC-0022,120,240,120,Yes,Routine,Yes,2
BLK-000255,2026-09-03,COR-003,SEC-0022,240,360,120,No,Planned,Yes,2
BLK-000256,2026-09-03,COR-003,SEC-0022,360,480,120,Yes,Planned,No,3
BLK-000257,2026-09-03,COR-003,SEC-0022,480,600,120,No,Routine,No,1
BLK-000258,2026-09-03,COR-003,SEC-0022,600,720,120,Yes,Planned,No,2
BLK-000259,2026-09-03,COR-003,SEC-0022,720,840,120,No,Emergency Reserve,No,3
BLK-000260,2026-09-03,COR-003,SEC-0022,840,960,120,Yes,Routine,No,1
BLK-000261,2026-09-03,COR-003,SEC-0022,960,1080,120,Yes,Planned,No,2
BLK-000262,2026-09-03,COR-003,SEC-0022,1080,1200,120,Yes,Planned,No,2
BLK-000263,2026-09-03,COR-003,SEC-0022,1200,1320,120,Yes,Planned,Yes,1
BLK-000264,2026-09-03,COR-003,SEC-0022,1320,1440,120,Yes,Routine,Yes,2
BLK-000265,2026-09-03,COR-003,SEC-0023,0,120,120,Yes,Planned,Yes,2
BLK-000266,2026-09-03,COR-003,SEC-0023,120,240,120,Yes,Planned,Yes,1
BLK-000267,2026-09-03,COR-003,SEC-0023,240,360,120,No,Emergency Reserve,Yes,3
BLK-000268,2026-09-03,COR-003,SEC-0023,360,480,120,Yes,Routine,No,2
BLK-000269,2026-09-03,COR-003,SEC-0023,480,600,120,No,Planned,No,2
BLK-000270,2026-09-03,COR-003,SEC-0023,600,720,120,Yes,Planned,No,2
BLK-000271,2026-09-03,COR-003,SEC-0023,720,840,120,No,Planned,No,3
BLK-000272,2026-09-03,COR-003,SEC-0023,840,960,120,Yes,Planned,No,2
BLK-000273,2026-09-03,COR-003,SEC-0023,960,1080,120,Yes,Routine,No,3
BLK-000274,2026-09-03,COR-003,SEC-0023,1080,1200,120,Yes,Routine,No,2
BLK-000275,2026-09-03,COR-003,SEC-0023,1200,1320,120,Yes,Routine,Yes,1
BLK-000276,2026-09-03,COR-003,SEC-0023,1320,1440,120,Yes,Emergency Reserve,Yes,2
BLK-000277,2026-09-03,COR-003,SEC-0024,0,120,120,Yes,Routine,Yes,3
BLK-000278,2026-09-03,COR-003,SEC-0024,120,240,120,Yes,Planned,Yes,2
BLK-000279,2026-09-03,COR-003,SEC-0024,240,360,120,Yes,Planned,Yes,2
BLK-000280,2026-09-03,COR-003,SEC-0024,360,480,120,Yes,Planned,No,1
BLK-000281,2026-09-03,COR-003,SEC-0024,480,600,120,Yes,Planned,No,1
BLK-000282,2026-09-03,COR-003,SEC-0024,600,720,120,No,Planned,No,2
BLK-000283,2026-09-03,COR-003,SEC-0024,720,840,120,Yes,Planned,No,1
BLK-000284,2026-09-03,COR-003,SEC-0024,840,960,120,Yes,Planned,No,2
BLK-000285,2026-09-03,COR-003,SEC-0024,960,1080,120,Yes,Routine,No,1
BLK-000286,2026-09-03,COR-003,SEC-0024,1080,1200,120,Yes,Planned,No,2
BLK-000287,2026-09-03,COR-003,SEC-0024,1200,1320,120,Yes,Planned,Yes,1
BLK-000288,2026-09-03,COR-003,SEC-0024,1320,1440,120,Yes,Planned,Yes,2
BLK-000289,2026-09-03,COR-003,SEC-0025,0,120,120,Yes,Planned,Yes,2
BLK-000290,2026-09-03,COR-003,SEC-0025,120,240,120,Yes,Routine,Yes,2
BLK-000291,2026-09-03,COR-003,SEC-0025,240,360,120,No,Planned,Yes,1
BLK-000292,2026-09-03,COR-003,SEC-0025,360,480,120,No,Planned,No,2
BLK-000293,2026-09-03,COR-003,SEC-0025,480,600,120,No,Planned,No,1
BLK-000294,2026-09-03,COR-003,SEC-0025,600,720,120,Yes,Routine,No,1
BLK-000295,2026-09-03,COR-003,SEC-0025,720,840,120,Yes,Planned,No,2
BLK-000296,2026-09-03,COR-003,SEC-0025,840,960,120,Yes,Planned,No,3
BLK-000297,2026-09-03,COR-003,SEC-0025,960,1080,120,Yes,Routine,No,2
BLK-000298,2026-09-03,COR-003,SEC-0025,1080,1200,120,Yes,Planned,No,2
BLK-000299,2026-09-03,COR-003,SEC-0025,1200,1320,120,Yes,Planned,Yes,1
BLK-000300,2026-09-03,COR-003,SEC-0025,1320,1440,120,Yes,Planned,Yes,2
BLK-000301,2026-09-03,COR-003,SEC-0026,0,120,120,Yes,Routine,Yes,2
BLK-000302,2026-09-03,COR-003,SEC-0026,120,240,120,Yes,Routine,Yes,3
BLK-000303,2026-09-03,COR-003,SEC-0026,240,360,120,Yes,Routine,Yes,1
BLK-000304,2026-09-03,COR-003,SEC-0026,360,480,120,Yes,Planned,No,1
